CodeMembre,IdG
85506,4668
30889,1433
23279,2626
7654,1591
66027,1
6554,3544
73440,249
52705,366
40545,998
50301,4343
52685,2863
33232,4936
32637,4578
15984,3619
88063,2778
91518,2274
12428,1878
16518,2872
66772,3428
33826,1012
70316,1159
86001,3051
72987,213
94398,4104
45095,4443
38986,3268
65489,1805
71648,4020
37126,59
69523,3622
21726,1346
88448,4894
55257,943
50692,3557
96364,1249
29989,1163
19482,1634
69932,4124
86054,4364
8056,4241
30547,3425
61004,509
58824,3068
48911,972
18340,673
13417,3253
96966,2858
79230,2971
37337,4868
47999,4764
85096,1527
30266,1186
49167,2290
27102,3911
93547,652
39461,3264
60434,3864
9950,4052
74792,3031
64932,564
99713,2888
19297,140
64391,524
10098,4936
57565,842
33412,1005
77128,1871
14113,2409
56937,2738
42081,2089
16783,4419
3374,3935
23545,4868
21964,4634
64930,299
10789,861
66662,3085
68286,2056
75186,843
47479,2279
11592,2962
58883,6
26719,685
11239,4760
6460,564
50809,4400
81771,4596
35333,982
71998,1359
96522,2299
44878,150
30100,2123
37461,2436
67538,1125
21721,1198
74872,706
79769,934
12739,1369
13648,2292
88051,741
72372,3730
32921,1725
64377,4475
87472,3050
8829,206
72289,4679
89215,3953
94233,3041
57533,3743
49715,1456
49734,227
40839,3618
528,3416
84577,1300
31992,1440
80503,3091
85251,308
48147,1047
869,4934
81726,774
14476,2252
91663,356
12853,1698
95244,934
35028,200
63931,3224
42511,427
6075,1024
15701,1652
92124,4229
6070,2999
61753,2919
70573,2850
91948,2397
45009,3538
59380,4023
9493,1024
82348,892
11740,4707
56847,2679
84304,2519
93518,2749
52786,54
45600,1833
60604,1893
7381,4094
45740,2168
62962,587
21786,2592
95233,3171
83819,1711
25768,1133
8225,4100
4011,3053
50984,545
56844,62
46413,1074
30604,421
50649,2608
75396,4101
51257,3839
1817,2061
11087,2867
59608,2048
15249,4942
16845,3625
62832,4862
30906,4244
69695,3023
47445,3137
78125,754
8595,126
99907,4701
31997,4849
43679,4945
41187,2359
64502,4
41747,3599
229,2175
16532,3941
87119,3301
9467,4657
36323,245
46305,575
98275,2577
22324,4463
81458,1945
32123,379
16399,3765
71677,2230
97600,2099
2209,3492
83517,3189
75192,34
49793,3300
79827,4352
44193,4256
74934,660
45771,3096
66377,3030
13533,2966
18107,4317
86813,2749
91373,1016
17293,957
47049,4669
75051,937
56887,553
91231,4689
27097,3430
14269,2584
78664,3624
41924,1348
25018,619
57791,2903
65445,3559
30445,1610
87948,959
69974,2442
56269,2494
70510,4106
15469,1346
32201,3270
84912,1201
82746,2359
62505,666
44045,3236
98385,3273
14760,295
5964,1774
20866,638
31136,1243
44777,2256
9997,2218
3954,3658
10177,1625
62113,1384
12540,851
10520,2318
11761,151
25455,4661
70759,1520
42264,483
74770,4169
37472,2922
99926,3138
19048,3265
32782,2761
79692,2340
41884,1916
26033,4553
17818,2371
97543,3456
89580,4126
16001,2381
56152,3424
59677,1301
53088,1827
65443,3392
95887,472
81072,1572
14281,4250
59960,880
48221,1650
5157,751
13462,3331
76421,2806
35637,4937
70173,3291
83560,1992
3129,1383
20696,3542
55715,4775
14032,537
1658,3384
21050,1935
41272,4385
61436,2307
96785,2680
2013,1175
76307,1023
78085,4091
19070,2496
31813,290
30529,4767
83513,1976
14863,4886
51786,1621
20591,3104
97395,3185
58976,453
18142,2415
59788,402
65597,3696
42908,592
5013,2018
47074,342
73458,2469
10278,4723
5502,1990
52339,1356
95719,1435
68924,172
69129,4595
62008,3585
76248,4015
74201,2930
90531,1656
37268,1092
25789,420
15414,4265
42374,2113
93652,727
68555,881
76917,4113
70150,3101
2811,2068
13541,1066
26153,4516
82546,1443
18087,614
90944,2335
24294,10
32928,996
21881,1519
40882,1791
84936,477
47218,668
49709,2435
45013,2391
41208,1333
24419,3194
76886,3870
12829,1834
25396,4200
67961,396
25827,1727
7086,4621
86501,4560
77986,1181
95080,4783
47323,4817
27070,1380
75050,483
941,736
78719,3699
19973,2820
24601,558
69389,3916
52272,3946
23201,338
35666,483
46730,1425
9595,375
78667,2691
61563,4053
74646,1431
48827,2333
40615,4078
22147,1508
60292,4593
47285,4794
49998,3546
51920,2003
74828,1346
63962,2304
73306,717
83164,3125
18011,4817
15982,2570
22321,684
94875,4365
26085,2311
77681,16
63706,4345
24594,2801
16211,3456
85117,629
9401,575
75619,814
76776,303
10101,1263
1069,2268
87956,3694
20645,3158
17280,3394
54468,212
99338,349
7006,2141
9690,4612
76616,2053
91387,286
93368,1983
33732,688
51341,3927
45882,3102
97438,1280
90031,2722
24986,2496
43654,2857
60859,3965
92359,3876
53668,1548
72055,3136
50669,630
56026,2528
50595,1425
41715,682
44752,4261
57770,4772
50366,2593
46102,4060
15291,1104
80982,2207
24673,4344
66060,2216
78128,4346
36454,2688
56372,4250
51275,3486
11697,793
57514,2780
75283,865
66226,2967
42253,1479
51203,2052
73020,3681
55018,3544
41842,1966
78381,2643
66546,2674
34381,3216
28687,3622
94777,2920
40613,3864
10245,2537
31864,2103
21849,3968
5947,2597
80107,3052
86835,3999
2478,3079
22623,3789
18304,2942
42632,4482
65811,3922
93451,3705
65602,1482
65014,4981
28250,1805
65106,3717
43877,4002
60044,3769
42386,629
3431,3517
85167,3588
46865,2177
84846,3141
42746,4837
77543,1369
48335,4105
11427,1343
7093,2822
55713,1126
24385,3724
76046,358
94554,1763
88659,1702
39007,31
95427,4991
50593,452
2685,1111
99388,60
20767,4300
42820,4460
77466,126
40761,1316
78508,4785
72921,4612
88237,4104
73881,4404
98266,4232
38900,1493
1779,603
58532,3229
70202,1613
80018,2534
28678,3191
21697,362
97889,4049
49280,1382
68864,3513
61768,4354
11117,3757
1601,1874
20784,3917
36172,1219
54569,2002
34523,1512
43996,2882
25733,938
44524,480
25839,353
3906,4228
47872,951
40914,3492
41658,1724
39104,1108
29720,4351
57737,3356
15284,578
33164,1508
32588,3323
87471,2462
31280,1836
65894,3204
96354,941
63203,4244
84778,4626
27159,3046
40353,4627
39632,1159
79690,4987
22694,1419
15417,4832
51076,3036
97361,2740
59346,3585
86078,989
76159,2364
14797,907
40638,959
40913,310
70379,2503
32660,4997
85030,1714
91282,4480
38321,4180
84375,1624
99426,1058
24537,3700
83499,1671
84683,379
55390,1358
95112,3367
63244,3919
37303,1826
86019,3534
87769,138
73529,815
52243,407
30646,1306
85585,1699
97839,3344
37929,3852
60541,560
53692,2945
31184,4241
60082,3593
60097,1767
46213,1179
72084,4810
33569,2937
88631,4994
21703,3431
26688,3674
94928,3228
68062,452
14709,1025
9201,4360
4806,219
14375,4530
25655,2406
71618,2820
6948,4660
2261,3320
56104,1561
14982,93
26354,3940
37959,2475
49790,3530
98189,3767
38058,3099
15434,1761
56491,917
90581,806
40539,1867
2237,369
53833,1273
69342,3079
80529,2441
30983,4105
24605,4915
92234,3318
38103,1356
35037,738
52048,2806
62064,1125
71755,1984
20952,1272
611,3345
35883,3483
2,1588
45425,1759
13964,414
27516,1246
59331,2905
94021,1283
42763,2788
86014,3100
25581,1553
55527,4909
16510,3406
69550,5000
59143,2153
76587,4846
5909,4524
99833,313
7090,2270
20303,3337
19566,2304
92578,1642
35516,763
61117,3033
54472,1181
16199,1847
21555,4190
46731,1545
91220,2045
63232,787
66441,4008
57007,699
16841,2862
55566,4221
60897,2852
34715,3359
45930,1679
96162,4295
1722,1921
40631,1593
44196,2110
62706,1336
42380,179
99917,3816
70856,4267
93578,4567
58614,4598
50159,3031
22530,3257
37015,588
50996,1844
50247,2068
83874,1557
7795,3378
27590,4560
3823,4089
90040,3853
47697,515
77257,2549
63630,3438
66791,4863
80324,287
57581,4614
75840,1197
58592,3817
95091,37
72528,4400
57245,1319
74665,2384
86260,4674
98051,4000
29932,3800
78459,267
50616,2536
93434,4110
63558,888
291,2465
8245,1368
60433,1903
53216,1393
69281,2886
65060,4533
70694,2303
65314,1905
49921,2878
73759,4032
47086,3014
35260,1709
28217,4124
85322,3185
3865,3396
56969,33
58966,4365
65843,936
6601,1573
20166,1383
35211,1422
51320,4989
78739,4435
61664,1775
75689,1549
55150,2094
26890,1502
50989,1228
22258,803
