IdD,libelle
1,Noble
2,Roturier
3,Bourgeois
4,Anobli
5,Vassal
6,Suzerain
7,Seigneur
8,Baron
9,Vicomte
10,Comte
11,Dignite #11
12,Dignite #12
13,Dignite #13
14,Dignite #14
15,Dignite #15
16,Dignite #16
17,Dignite #17
18,Dignite #18
19,Dignite #19
20,Dignite #20
21,Dignite #21
22,Dignite #22
23,Dignite #23
24,Dignite #24
25,Dignite #25
26,Dignite #26
27,Dignite #27
28,Dignite #28
29,Dignite #29
30,Dignite #30
31,Dignite #31
32,Dignite #32
33,Dignite #33
34,Dignite #34
35,Dignite #35
36,Dignite #36
37,Dignite #37
38,Dignite #38
39,Dignite #39
40,Dignite #40
41,Dignite #41
42,Dignite #42
43,Dignite #43
44,Dignite #44
45,Dignite #45
46,Dignite #46
47,Dignite #47
48,Dignite #48
49,Dignite #49
50,Dignite #50
51,Dignite #51
52,Dignite #52
53,Dignite #53
54,Dignite #54
55,Dignite #55
56,Dignite #56
57,Dignite #57
58,Dignite #58
59,Dignite #59
60,Dignite #60
61,Dignite #61
62,Dignite #62
63,Dignite #63
64,Dignite #64
65,Dignite #65
66,Dignite #66
67,Dignite #67
68,Dignite #68
69,Dignite #69
70,Dignite #70
71,Dignite #71
72,Dignite #72
73,Dignite #73
74,Dignite #74
75,Dignite #75
76,Dignite #76
77,Dignite #77
78,Dignite #78
79,Dignite #79
80,Dignite #80
81,Dignite #81
82,Dignite #82
83,Dignite #83
84,Dignite #84
85,Dignite #85
86,Dignite #86
87,Dignite #87
88,Dignite #88
89,Dignite #89
90,Dignite #90
91,Dignite #91
92,Dignite #92
93,Dignite #93
94,Dignite #94
95,Dignite #95
96,Dignite #96
97,Dignite #97
98,Dignite #98
99,Dignite #99
100,Dignite #100
101,Dignite #101
102,Dignite #102
103,Dignite #103
104,Dignite #104
105,Dignite #105
106,Dignite #106
107,Dignite #107
108,Dignite #108
109,Dignite #109
110,Dignite #110
111,Dignite #111
112,Dignite #112
113,Dignite #113
114,Dignite #114
115,Dignite #115
116,Dignite #116
117,Dignite #117
118,Dignite #118
119,Dignite #119
120,Dignite #120
121,Dignite #121
122,Dignite #122
123,Dignite #123
124,Dignite #124
125,Dignite #125
126,Dignite #126
127,Dignite #127
128,Dignite #128
129,Dignite #129
130,Dignite #130
131,Dignite #131
132,Dignite #132
133,Dignite #133
134,Dignite #134
135,Dignite #135
136,Dignite #136
137,Dignite #137
138,Dignite #138
139,Dignite #139
140,Dignite #140
141,Dignite #141
142,Dignite #142
143,Dignite #143
144,Dignite #144
145,Dignite #145
146,Dignite #146
147,Dignite #147
148,Dignite #148
149,Dignite #149
150,Dignite #150
151,Dignite #151
152,Dignite #152
153,Dignite #153
154,Dignite #154
155,Dignite #155
156,Dignite #156
157,Dignite #157
158,Dignite #158
159,Dignite #159
160,Dignite #160
161,Dignite #161
162,Dignite #162
163,Dignite #163
164,Dignite #164
165,Dignite #165
166,Dignite #166
167,Dignite #167
168,Dignite #168
169,Dignite #169
170,Dignite #170
171,Dignite #171
172,Dignite #172
173,Dignite #173
174,Dignite #174
175,Dignite #175
176,Dignite #176
177,Dignite #177
178,Dignite #178
179,Dignite #179
180,Dignite #180
181,Dignite #181
182,Dignite #182
183,Dignite #183
184,Dignite #184
185,Dignite #185
186,Dignite #186
187,Dignite #187
188,Dignite #188
189,Dignite #189
190,Dignite #190
191,Dignite #191
192,Dignite #192
193,Dignite #193
194,Dignite #194
195,Dignite #195
196,Dignite #196
197,Dignite #197
198,Dignite #198
199,Dignite #199
200,Dignite #200
201,Dignite #201
202,Dignite #202
203,Dignite #203
204,Dignite #204
205,Dignite #205
206,Dignite #206
207,Dignite #207
208,Dignite #208
209,Dignite #209
210,Dignite #210
211,Dignite #211
212,Dignite #212
213,Dignite #213
214,Dignite #214
215,Dignite #215
216,Dignite #216
217,Dignite #217
218,Dignite #218
219,Dignite #219
220,Dignite #220
221,Dignite #221
222,Dignite #222
223,Dignite #223
224,Dignite #224
225,Dignite #225
226,Dignite #226
227,Dignite #227
228,Dignite #228
229,Dignite #229
230,Dignite #230
231,Dignite #231
232,Dignite #232
233,Dignite #233
234,Dignite #234
235,Dignite #235
236,Dignite #236
237,Dignite #237
238,Dignite #238
239,Dignite #239
240,Dignite #240
241,Dignite #241
242,Dignite #242
243,Dignite #243
244,Dignite #244
245,Dignite #245
246,Dignite #246
247,Dignite #247
248,Dignite #248
249,Dignite #249
250,Dignite #250
251,Dignite #251
252,Dignite #252
253,Dignite #253
254,Dignite #254
255,Dignite #255
256,Dignite #256
257,Dignite #257
258,Dignite #258
259,Dignite #259
260,Dignite #260
261,Dignite #261
262,Dignite #262
263,Dignite #263
264,Dignite #264
265,Dignite #265
266,Dignite #266
267,Dignite #267
268,Dignite #268
269,Dignite #269
270,Dignite #270
271,Dignite #271
272,Dignite #272
273,Dignite #273
274,Dignite #274
275,Dignite #275
276,Dignite #276
277,Dignite #277
278,Dignite #278
279,Dignite #279
280,Dignite #280
281,Dignite #281
282,Dignite #282
283,Dignite #283
284,Dignite #284
285,Dignite #285
286,Dignite #286
287,Dignite #287
288,Dignite #288
289,Dignite #289
290,Dignite #290
291,Dignite #291
292,Dignite #292
293,Dignite #293
294,Dignite #294
295,Dignite #295
296,Dignite #296
297,Dignite #297
298,Dignite #298
299,Dignite #299
300,Dignite #300
301,Dignite #301
302,Dignite #302
303,Dignite #303
304,Dignite #304
305,Dignite #305
306,Dignite #306
307,Dignite #307
308,Dignite #308
309,Dignite #309
310,Dignite #310
311,Dignite #311
312,Dignite #312
313,Dignite #313
314,Dignite #314
315,Dignite #315
316,Dignite #316
317,Dignite #317
318,Dignite #318
319,Dignite #319
320,Dignite #320
321,Dignite #321
322,Dignite #322
323,Dignite #323
324,Dignite #324
325,Dignite #325
326,Dignite #326
327,Dignite #327
328,Dignite #328
329,Dignite #329
330,Dignite #330
331,Dignite #331
332,Dignite #332
333,Dignite #333
334,Dignite #334
335,Dignite #335
336,Dignite #336
337,Dignite #337
338,Dignite #338
339,Dignite #339
340,Dignite #340
341,Dignite #341
342,Dignite #342
343,Dignite #343
344,Dignite #344
345,Dignite #345
346,Dignite #346
347,Dignite #347
348,Dignite #348
349,Dignite #349
350,Dignite #350
351,Dignite #351
352,Dignite #352
353,Dignite #353
354,Dignite #354
355,Dignite #355
356,Dignite #356
357,Dignite #357
358,Dignite #358
359,Dignite #359
360,Dignite #360
361,Dignite #361
362,Dignite #362
363,Dignite #363
364,Dignite #364
365,Dignite #365
366,Dignite #366
367,Dignite #367
368,Dignite #368
369,Dignite #369
370,Dignite #370
371,Dignite #371
372,Dignite #372
373,Dignite #373
374,Dignite #374
375,Dignite #375
376,Dignite #376
377,Dignite #377
378,Dignite #378
379,Dignite #379
380,Dignite #380
381,Dignite #381
382,Dignite #382
383,Dignite #383
384,Dignite #384
385,Dignite #385
386,Dignite #386
387,Dignite #387
388,Dignite #388
389,Dignite #389
390,Dignite #390
391,Dignite #391
392,Dignite #392
393,Dignite #393
394,Dignite #394
395,Dignite #395
396,Dignite #396
397,Dignite #397
398,Dignite #398
399,Dignite #399
400,Dignite #400
401,Dignite #401
402,Dignite #402
403,Dignite #403
404,Dignite #404
405,Dignite #405
406,Dignite #406
407,Dignite #407
408,Dignite #408
409,Dignite #409
410,Dignite #410
