IdC,type_aliment,nom,allergene
1,Poisson,Truffe noire #709,"Arachides, Gluten"
2,Herbe,Thym sauvage #93,"Lactose, Œufs, Poisson"
3,Épice,Épices orientales #286,"Œufs, Sulfites"
4,Légume,Venaison #996,"Lactose, Lupin, Poisson"
5,Viande,Agneau rôti #90,"Lactose, Sulfites, Fruits à coque"
6,Fruit,Fromage affiné #32,Soja
7,Fruit,Agneau rôti #163,"Sésame, Mollusques, Œufs"
8,Poisson,Truffe noire #937,"Céleri, Fruits à coque"
9,Épice,Safran #689,Gluten
10,Fruit,Romarin #734,"Œufs, Arachides, Poisson"
11,Légume,Navet confit #116,Aucun
12,Légumineuse,Canard fumé #623,Gluten
13,Fruit,Poivre long #599,"Arachides, Céleri"
14,Champignon,Carpe dorée #702,"Sulfites, Sésame, Arachides"
15,Fruit,Canard fumé #518,Aucun
16,Fruit,Épeautre #157,"Poisson, Arachides, Crustacés"
17,Poisson,Truffe noire #894,"Sulfites, Poisson"
18,Champignon,Épices orientales #608,"Crustacés, Gluten"
19,Produit laitier,Agneau rôti #662,Aucun
20,Épice,Mouton braisé #544,"Lupin, Sésame"
21,Produit laitier,Mouton braisé #807,"Gluten, Sulfites, Arachides"
22,Fruit,Lentilles du Puy #333,"Gluten, Poisson"
23,Légumineuse,Verjus #152,"Sésame, Moutarde"
24,Céréale,Safran #47,"Poisson, Lupin, Arachides"
25,Viande,Poivre long #584,Aucun
26,Viande,Romarin #795,"Poisson, Soja, Fruits à coque"
27,Céréale,Brochet en gelée #222,Aucun
28,Fruit,Carpe dorée #40,Aucun
29,Herbe,Truffe noire #329,Mollusques
30,Légumineuse,Mouton braisé #585,Moutarde
31,Légume,Pomme sauvage #293,"Arachides, Sésame, Poisson"
32,Légume,Truffe noire #883,Lactose
33,Fruit,Fromage affiné #975,Sulfites
34,Légumineuse,Verjus #506,"Poisson, Crustacés"
35,Poisson,Chou frisé #473,Sulfites
36,Céréale,Chou frisé #681,"Lactose, Arachides, Fruits à coque"
37,Poisson,Romarin #84,"Arachides, Sulfites"
38,Champignon,Agneau rôti #168,"Gluten, Sulfites"
39,Poisson,Mouton braisé #141,"Gluten, Soja"
40,Fruit,Romarin #515,Sésame
41,Fruit,Poivre long #564,"Sulfites, Moutarde, Mollusques"
42,Poisson,Thym sauvage #296,"Sulfites, Sésame"
43,Viande,Fromage affiné #410,Soja
44,Fruit,Agneau rôti #709,Aucun
45,Champignon,Chou frisé #965,Aucun
46,Légumineuse,Chou frisé #462,"Lupin, Arachides, Céleri"
47,Légumineuse,Thym sauvage #622,Fruits à coque
48,Légumineuse,Carpe dorée #617,"Céleri, Moutarde"
49,Champignon,Lentilles du Puy #24,Lactose
50,Produit laitier,Lentilles du Puy #921,Sulfites
51,Légume,Épices orientales #512,Lupin
52,Champignon,Thym sauvage #7,"Lactose, Céleri, Mollusques"
53,Champignon,Venaison #225,Soja
54,Fruit,Verjus #133,Mollusques
55,Fruit,Épices orientales #961,Aucun
56,Produit laitier,Venaison #185,Aucun
57,Viande,Romarin #229,"Arachides, Lupin, Mollusques"
58,Légumineuse,Carpe dorée #160,Lupin
59,Légumineuse,Pomme sauvage #755,Aucun
60,Champignon,Venaison #717,"Céleri, Sésame, Fruits à coque"
61,Herbe,Brochet en gelée #829,"Soja, Moutarde, Arachides"
62,Poisson,Thym sauvage #902,"Arachides, Soja"
63,Herbe,Agneau rôti #550,Crustacés
64,Fruit,Brochet en gelée #312,Céleri
65,Légumineuse,Brochet en gelée #696,"Poisson, Sulfites, Sésame"
66,Légume,Romarin #243,"Soja, Lupin, Crustacés"
67,Légumineuse,Pomme sauvage #303,"Moutarde, Crustacés, Céleri"
68,Viande,Canard fumé #879,"Céleri, Fruits à coque, Œufs"
69,Herbe,Safran #930,Aucun
70,Produit laitier,Verjus #589,"Moutarde, Céleri"
71,Céréale,Carpe dorée #808,"Sésame, Poisson, Œufs"
72,Fruit,Safran #557,Gluten
73,Épice,Canard fumé #433,Sésame
74,Poisson,Navet confit #415,"Sésame, Crustacés, Poisson"
75,Herbe,Fromage affiné #46,"Sulfites, Arachides, Moutarde"
76,Épice,Carpe dorée #890,Moutarde
