CodeMembre,IdO
52345,2969
93603,4199
82170,2855
85251,357
958,1273
66965,4941
87702,4060
62889,1997
50101,744
20993,4560
84635,3551
57442,2496
98656,3643
85081,819
70110,2753
27979,3738
14090,4566
15476,4526
9081,1185
20778,3162
54462,3936
99684,1123
86010,2355
73558,3841
30356,25
13822,1243
28594,3216
57763,4072
31750,2913
24393,4146
25401,1450
35085,3079
72557,970
31531,1041
34644,3791
76536,2279
83797,3600
15116,1158
67962,1772
9533,291
78778,1235
90829,961
60225,2338
27251,1930
96917,4750
86322,4033
23575,448
25057,4795
98411,4836
626,834
49236,227
14579,1249
36853,4427
13221,700
92950,4701
23060,1516
3292,2347
98940,3466
31488,4400
3897,2897
31123,1638
68253,2683
5087,184
94702,3286
41221,2446
13908,2706
11481,3951
5629,902
7562,188
65295,744
64123,2278
59095,4077
29330,1813
9549,3251
25824,325
10657,1584
42210,3457
54323,3933
91666,1212
26947,4010
35281,2066
86389,3061
78896,1
80691,4720
83256,3479
53468,3051
91603,3620
62753,1898
33563,3134
21088,380
94793,662
45681,905
44356,2322
64998,344
98615,896
17717,4624
3613,955
15270,1380
68659,2647
30542,3073
28035,671
4519,3358
44454,1079
31308,521
50156,2698
30527,2606
85930,223
74395,4513
34730,221
59895,4268
46590,4481
81605,4993
30163,4369
45255,4357
44809,2854
98441,948
53991,411
95687,3734
34041,4012
31985,3059
21735,3469
45553,336
25511,1866
54958,1886
58124,3986
210,3301
55380,460
47162,3663
76435,4866
1235,586
82828,1727
62998,2259
10039,4618
92192,4144
86957,819
71187,472
18830,4121
24793,3896
88581,4702
64382,3194
90257,4322
66396,4467
63872,4201
8477,74
65822,3199
4729,417
48405,3791
1212,3469
26786,4252
91590,2814
82474,3511
546,3356
6121,1617
2940,3730
29457,327
94776,2566
13403,511
54035,948
46283,1032
71738,1998
17579,2046
14850,2487
37944,3874
2251,901
55871,4236
16591,1721
63181,17
98540,2276
10885,2398
77302,1203
13610,3725
73721,4408
66695,1032
92470,2590
4447,280
39418,4049
82885,4488
47214,1177
49332,2147
65906,2349
15521,2972
26031,696
36352,162
78287,1751
39195,386
61663,2612
3533,3871
35894,4121
35156,3611
72695,2267
80993,589
99509,405
36774,2955
2213,560
51694,1913
18331,2542
25915,1918
76363,4587
82698,474
53271,294
88178,4414
17275,4850
43377,1714
80909,1744
52733,168
18366,2986
77815,954
28045,2401
54818,1116
24167,1394
67025,1073
95887,2215
13876,3076
33438,3947
65982,2899
11455,2634
12159,203
67803,4658
15494,3666
65916,1028
446,4260
67276,3235
92927,4595
66341,111
30924,2875
62562,1647
73534,4846
18668,299
84667,1936
91337,2723
92107,497
75263,1006
85199,544
4518,1433
46724,4828
40728,4251
2614,4201
91579,2979
24018,2215
73191,3307
87476,4484
80695,4249
67659,4093
15657,1675
13472,316
84370,647
55132,4929
67469,4880
73714,4328
35304,467
42902,3672
3427,1074
32134,4097
30505,4826
11797,1107
44441,414
16681,4890
53240,732
44735,3577
86555,566
32187,2325
77426,3081
20629,3774
39594,4906
82670,2973
36299,3650
15572,504
13876,1400
2668,848
26231,2528
