CodeMembre,SIRET
39967,6880144857
87235,3225117422
82118,9721942348
97389,4356907459
21760,5565462760
20043,3411544508
82582,3411246240
36130,2375850019
65447,5876634691
6656,8248038241
27080,1691756604
98506,4851803639
44650,7804708640
86182,1530443672
39945,3709042259
95065,3106739109
90221,7151498825
84867,3216076914
45845,7044889462
32515,5964490479
4172,3136001919
57170,1148198726
52348,8765141138
20210,1546829126
85408,9776072617
73198,5823356793
89854,6196508550
38942,4164298502
20262,2187847117
74431,8484610779
42027,3430408859
81632,8660190287
21790,9759863428
27899,2000624216
33797,6217353567
3965,3754277398
51739,5216303364
96529,6100898945
35467,2013777306
43074,6415232689
28958,3533659600
20516,7402201852
60441,2450182151
58565,3511087310
29803,6474883772
38795,1420400875
15481,4620727751
26680,1520178840
99613,5923686804
56616,7500511530
70093,7782017010
20960,9573819152
42594,1421457285
70382,6804557062
4538,4437772439
49639,6079433916
35131,2927828839
87507,8808030917
93379,6468977217
92081,5908428199
44808,8446398889
94256,1033057174
81343,5436353313
96694,9024344484
74692,5160127863
72147,5271087981
99098,2836171129
86888,3754854168
34501,4888674569
67425,2741829769
95088,2769820746
51196,7332008183
52356,9129729353
10815,9119997179
49667,5463402013
42144,6543800540
71922,6264864541
96177,1544421057
67946,1704368640
95510,8669211872
57028,6600703642
38423,2318861653
31045,4820839406
37529,5672815703
22528,8960150705
2262,5525564066
12545,7415112885
19223,8804452858
39902,2683347384
41558,4518722478
43799,8948019761
76779,5739140374
99829,3576553015
40398,2386458931
21690,6000710663
56654,1930586215
82333,4142574439
28038,9686405180
84854,9285543294
85156,3486901097
83195,4692844100
59475,5163794456
46491,1756312283
443,6068388434
72206,3076601996
54484,7799036600
96926,9601806314
26890,4828795493
67663,6199460323
87721,3409311654
58349,6399005456
96697,9387926068
41718,8444382870
11804,7881813132
11626,6326338838
29042,3535810872
83810,2647969587
71566,3508852355
33148,4793758700
8002,3464540811
23763,6831453201
79634,2690627935
64541,5419739083
36713,8653299319
43717,7763232100
38104,4667112696
71775,7799036600
80669,6334103237
39994,6647067265
50005,6923191103
14589,7108828739
64992,6917598381
67396,9383965653
45046,5618288532
99447,2454050853
8499,2811799473
26088,3183637260
54056,6944352988
85023,6018993161
97764,2485575777
60064,4472246597
40889,3937021605
27610,8674589680
9071,6432438605
75358,4888674569
7161,9712303070
9614,5448885093
50031,4646790707
461,5449985250
43883,4730733149
89020,3983752443
38214,9462232929
4315,1574405633
41867,5837525400
27218,4661093622
48059,7596845880
11577,3005483704
95966,2728841400
99450,1521692545
78496,1610370588
88144,4554641814
7801,3597183170
92750,2041771552
65139,8517120880
68651,4734131671
25418,5449985250
70100,1160615084
70155,3787600073
59818,5325678695
19859,1655587061
63243,7254969487
94900,6720222190
53391,7312297258
23062,4567713089
29580,3460583222
41645,7748182266
1609,6916083615
27197,5341020117
64254,8102980898
74774,8710188399
68395,1554341044
96981,6692404526
95446,3062269111
48942,9302389588
68986,9384507539
45088,9182396716
60982,8584508721
59160,7837380299
90438,6744978044
79848,5180844018
67521,4369086432
57403,1987553261
54314,7561627459
41851,6286859279
82870,4346364607
41699,6961848674
6152,5006799668
70258,3575814445
95032,8833147341
19105,7239429646
78171,4858469383
41097,6681826983
42724,9694748382
49478,2992202915
