IdClub,IdO,IdO_parent
1,2276,4260
2,4587,
3,2932,4967
4,780,4295
5,3275,1995
6,4927,1727
7,4921,1727
8,1103,791
9,3656,4744
10,3787,
11,3253,4295
12,3220,4117
13,4456,3623
14,1597,1803
15,4826,299
16,3677,1000
17,2953,2672
18,2985,
19,3062,4586
20,4604,93
21,3432,1646
22,3686,
23,633,4002
24,436,1807
25,4941,2559
26,4173,4802
27,1073,773
28,484,1982
29,2476,3455
30,4648,
31,3204,4168
32,1150,1569
33,1858,3536
34,3506,2367
35,2310,3510
36,2124,4958
37,4238,3267
38,3320,817
39,1209,2606
40,3991,2469
41,3512,2304
42,3942,3383
43,4276,
44,402,2984
45,1016,
46,4143,2723
47,2129,2053
48,2993,2584
49,549,67
50,424,2385
51,544,3242
52,1650,3529
53,4338,3405
54,3958,236
55,4655,2305
56,3951,1331
57,3137,1919
58,803,
59,1281,2155
60,4755,
61,1917,4119
62,2708,109
63,1461,
64,1783,
65,2290,38
66,2880,3107
67,4517,
68,4693,2734
69,1781,2910
70,42,373
71,1753,2677
72,4912,2896
73,3860,2836
74,4463,
75,270,
76,4449,3044
77,3713,
78,1480,
79,437,3316
80,3601,3057
81,1229,
82,502,2250
83,2380,
84,3049,13
85,4115,2350
86,1689,
87,4680,223
88,2681,4023
89,3440,4543
90,938,
91,4126,2715
92,2868,4080
93,4298,832
94,1687,4158
95,925,176
96,1642,
97,854,4630
98,4893,3263
99,2448,1802
100,919,
101,815,211
102,1827,3262
103,685,4892
104,376,4228
105,1919,2837
106,4329,4279
107,4162,2558
108,3820,1034
109,3783,2258
110,1358,4228
111,2283,2054
112,3412,1526
113,4898,827
114,354,425
115,3024,752
116,12,
117,2694,2223
118,3880,2045
119,2536,
120,4229,3382
121,3594,510
122,4891,1916
123,2091,4353
124,3970,1913
125,814,2597
126,3526,
127,4818,907
128,4857,2582
129,3354,4959
130,1771,
131,4109,2055
132,430,4453
133,1443,3839
134,415,1998
135,1047,791
136,2403,
137,2462,3407
138,1031,
139,223,
140,2904,3392
141,3845,2837
142,1340,
143,3902,149
144,913,2533
145,566,
