idS,idI
2213,653
577,2031
1329,1237
74,1997
639,1453
2241,638
1626,1729
76,1311
873,1437
701,939
725,2057
1732,1772
166,2488
1383,2336
1952,2047
427,1933
2109,387
2037,450
2199,1156
1873,2059
2032,1529
2122,1403
729,1656
628,889
1851,524
2486,1087
1511,2447
2227,596
1416,1481
2457,976
1330,1389
1555,1197
1362,882
2306,740
260,609
2476,2411
533,728
496,1228
493,649
1946,1575
2183,2118
1892,2144
556,2120
212,453
1599,1882
55,1957
1119,1669
88,968
595,1870
1810,1968
2193,512
392,1389
156,1233
852,2133
1062,1489
409,1357
2355,2035
1251,211
1817,14
1701,1495
1510,731
902,1418
2467,534
1309,632
1665,278
2237,1830
1205,1670
1418,2316
845,925
1283,2486
2139,2058
2233,2227
2277,2186
872,1293
357,542
441,82
2085,1092
497,1166
1283,2032
26,289
142,689
1907,276
256,1291
2223,748
1181,1871
373,1838
406,323
449,1865
1047,1447
1554,129
549,2150
900,2277
2003,1806
268,696
111,848
925,2117
1408,667
16,1609
396,1329
1374,907
1993,1855
37,1441
1627,75
755,1543
1014,1039
2485,838
729,1984
2200,2117
741,41
2347,1128
2375,2370
357,1213
2012,1341
795,367
965,1582
647,1405
1330,462
2444,1377
15,174
891,1008
54,1407
2,50
916,1838
1816,1025
789,1673
463,1288
1775,1735
353,904
1503,1488
1911,918
1890,2031
1421,1768
1381,2218
1434,703
792,2346
639,1625
915,1638
1154,912
1271,1522
1415,1966
1803,1150
1361,633
2158,1475
334,1109
2042,35
822,1342
590,552
1413,2202
597,2364
1007,2260
1899,1850
1995,303
2348,564
2333,203
748,1204
517,1801
687,285
1329,2387
2210,294
1108,261
748,581
252,1236
562,2241
1827,645
1782,1890
2161,736
1673,1296
621,409
510,1845
605,2102
1532,770
1034,709
1176,1822
1035,308
2036,21
255,1367
331,2363
1931,818
639,877
72,114
1439,2447
1179,2171
961,1067
1413,2484
954,391
1859,1937
226,859
909,567
1915,119
1204,2052
651,1292
1921,2047
1782,164
2190,526
766,74
2266,644
638,683
2474,771
401,2008
1860,227
2460,844
1721,607
2095,236
1881,1678
790,1867
844,1471
229,848
949,2484
977,2460
1021,1567
1086,1758
997,2357
2316,31
899,2463
211,802
1446,1051
841,1504
412,2481
2212,961
1448,967
2433,1882
1441,275
2240,1038
640,431
544,1803
1683,74
758,263
1324,1089
1196,247
740,1496
2076,1807
2382,478
412,2305
367,1932
1230,1829
2286,1858
1958,1754
1789,400
1433,2011
1884,271
533,2180
1133,1041
2491,362
840,2083
1704,1017
1091,1018
2176,2237
656,1879
2168,1483
432,1855
1222,2141
2495,234
73,873
135,1383
1442,1291
352,1103
1846,1781
2199,211
930,1781
913,516
2461,428
1546,552
351,1197
1194,1385
122,1926
724,1879
1874,1366
1643,1371
2432,385
1985,1089
334,990
988,293
1777,1944
840,869
690,452
2374,1343
1480,888
1090,752
1304,12
92,1204
2196,199
2005,2251
2469,1687
1558,2399
476,58
1957,1185
680,1529
905,298
1726,884
175,871
620,1957
2452,618
486,1045
2399,242
1436,2302
2083,17
1166,944
1713,2062
154,655
212,187
642,6
1938,591
2402,427
520,1579
1766,1448
2148,1118
80,767
606,137
2167,1800
695,146
1317,605
347,659
2462,87
246,710
1408,2311
416,16
1102,1066
1861,1590
867,2266
1418,2074
2381,786
779,2023
1172,1841
848,469
889,951
1374,559
2211,1433
343,1429
2238,266
945,1499
792,2190
619,297
2339,1403
422,2425
2295,321
2430,2179
546,2359
2152,2411
1427,1711
402,317
930,1847
634,1769
1996,590
310,729
2000,2306
724,878
1737,1894
1416,1161
2219,589
2098,1750
2489,2217
1957,795
1275,5
77,1407
2024,302
704,1347
992,2227
222,486
1184,2233
1483,586
605,1102
739,1270
1875,838
1077,1317
2200,261
2040,760
2389,136
2334,106
1932,1490
1290,1952
1712,15
1564,916
2050,1715
680,1379
619,718
572,680
1377,51
2467,2152
2208,1101
348,2120
271,1335
994,830
620,332
77,2127
1040,2401
1239,2393
1728,1827
484,819
281,53
1196,815
1943,1719
1535,1583
1425,1622
259,509
161,1248
2306,795
1981,1382
1639,1074
883,860
2068,1079
2114,2330
1105,530
1623,450
1256,1505
2136,568
595,2000
1422,2005
827,1710
774,2434
1140,321
2296,1424
1590,213
72,2286
1751,2448
272,1988
1755,1579
222,456
946,1441
1867,1167
1243,2041
2415,2048
2376,1430
2459,640
96,1968
761,1697
1272,1971
1643,2018
1878,1414
2038,1408
2042,989
2037,1550
2072,27
795,501
1925,1995
234,1955
390,1722
360,2317
672,2102
733,2005
2280,700
1948,333
1150,1119
51,2239
785,1947
852,998
2170,2214
1114,1657
472,1520
434,1147
1970,284
524,1553
1223,2275
2053,1297
311,2098
517,463
782,1215
1943,25
2343,1775
1218,2270
1858,1864
1780,1872
487,1071
1504,107
1925,713
2249,878
2054,2435
2210,1871
887,732
2132,2001
26,1011
2019,662
1032,448
1508,1890
1713,1990
1357,459
2407,1844
50,186
1819,681
1664,1290
2225,233
1221,1837
1184,526
143,693
836,1387
672,298
2412,83
211,483
2239,798
236,1072
2407,2484
308,1545
2334,895
1584,428
1144,1063
213,1675
1746,1021
2023,75
2163,1714
2250,1775
2397,2443
1463,1283
100,350
2061,1810
684,2466
559,346
684,1871
629,1442
2230,1804
1988,911
226,2150
1635,414
2041,574
1707,1334
2152,2236
241,1765
1608,2050
791,1587
1425,1018
562,897
2381,790
1937,1812
765,1318
2330,477
2105,200
1827,1584
534,1144
805,2192
556,170
2044,405
1478,1100
2294,220
83,1252
969,1830
1518,1018
855,1829
827,1294
2350,109
748,1079
2025,1257
2421,1711
1516,961
2373,1546
2330,1203
1521,904
570,645
1396,538
1796,1348
615,1435
1373,1139
163,2397
749,1181
767,2
1574,559
1119,2465
538,2352
1069,1525
1706,1487
527,1820
1238,2113
61,2276
1437,667
2434,1940
1211,1149
987,2
2477,1367
994,2345
2025,2100
942,438
516,1538
2345,758
518,1993
760,1167
919,570
1072,672
1688,261
2382,1476
64,1569
1723,812
986,477
1258,601
619,2191
500,566
1675,2276
834,1686
902,2413
1744,2257
1550,1278
1537,1022
1198,1989
2287,326
1736,556
1735,884
1004,1476
1647,1884
1906,1138
240,1398
597,2105
1123,209
980,437
1964,801
1486,2446
351,1261
2294,1654
1767,736
1269,537
652,2322
1760,1745
2217,1228
1034,2383
732,942
62,1719
109,1658
1505,2025
1842,2007
1409,1390
995,1330
1959,890
883,490
