IdM,IdE
3666,1454
1365,1228
70,4093
4155,509
3063,2628
2628,4324
1933,2153
4998,477
1178,4629
1930,3702
2605,3350
1909,46
1984,1167
3568,1525
4310,1953
618,2688
1753,1694
1309,2810
3823,3808
1221,356
3288,4395
4093,1446
4084,996
4773,1141
4647,1321
663,3172
3071,4724
3558,4927
2824,3220
1551,2579
2345,4841
660,2331
4292,188
3205,3024
4410,4155
3043,1132
1298,2300
2042,1816
3655,4461
3841,2653
4419,2721
4277,1687
3121,1961
2872,4142
311,1833
4546,1535
1328,2091
4385,3286
206,218
4691,4663
159,4903
411,4018
3153,1869
373,1111
4438,474
4228,283
25,4820
1301,3564
3469,2821
784,2639
1740,1387
3065,2839
1865,123
114,4227
2308,1993
3186,1388
3586,1109
1804,4843
1641,825
813,3855
3996,4607
3378,1804
4601,3243
1817,2466
152,3278
3374,3935
856,2760
3452,1684
1925,195
836,788
4720,852
2197,1008
2431,1791
3245,4921
3362,4973
1510,2741
1121,292
1833,1788
917,3622
3556,355
4259,507
2341,4895
1352,2340
4928,2784
886,911
3890,2554
2554,3762
294,1201
4302,3304
484,1555
4067,1419
4133,1055
2521,3985
3949,2482
1428,1861
2159,208
2629,4270
2079,1134
1370,927
599,2590
4614,4503
2830,814
3252,2656
691,1819
1600,1312
1261,1729
4494,3182
2135,4818
543,577
3949,4282
2684,234
1347,2102
4624,697
3308,2908
4178,32
4140,2853
3757,1326
4736,445
171,1159
2762,4559
3254,3321
3112,948
3040,1909
598,276
2389,383
1397,2766
2593,2333
1757,2642
3952,4223
8,3019
1283,2298
470,4346
157,2025
3754,1407
3217,2852
3161,1594
865,2508
3014,584
3625,1267
4164,460
1848,1453
1080,4684
4366,544
3260,2802
4979,4762
3271,3213
1221,1280
2766,3000
4686,36
1863,3061
3059,3244
2696,1566
2338,3770
790,2083
4169,3266
2279,256
2483,240
1479,369
3182,1785
1548,4432
1279,3270
301,2076
1100,1367
1683,4384
3419,2186
266,3906
807,1240
3247,2138
4387,760
2151,4501
3114,3720
1804,3373
1649,889
3173,3211
2193,1395
4823,2592
3175,891
3282,983
3408,1576
2540,374
2187,52
1813,3295
821,1660
4096,4790
2399,4150
2455,116
1005,199
1785,4334
913,525
2752,2451
3075,3470
4875,1680
4900,1136
4791,192
4540,3750
2606,4709
1318,3253
1409,2871
4918,2051
2346,1105
643,2354
516,1382
4674,4942
4933,3570
2833,3322
913,3582
2680,69
84,3086
377,3827
1230,874
4224,3410
2604,2783
2897,4492
2739,1513
1039,3407
1819,2103
4401,790
4099,3616
437,2500
277,360
3638,4468
2121,2881
4803,3084
1983,1793
4803,4445
296,1276
519,4331
4933,1282
3768,824
3752,3110
4642,356
1791,1103
3000,1051
3977,2616
910,3887
2805,3520
3537,234
1686,904
2242,1811
1802,2968
1264,4892
714,3335
1014,928
2630,4695
4635,4886
4616,632
2826,4542
4829,2693
1145,1862
1537,3473
3108,1224
3545,143
4580,4264
3643,1442
4690,754
2000,2577
1415,2301
410,1333
4525,4787
619,149
668,3293
2986,3167
1635,3137
162,4487
508,1919
1823,533
4862,3828
623,3059
4433,4828
760,1728
578,4233
4263,1909
783,3997
4013,448
2119,2872
1144,2317
984,3148
2057,2234
126,4840
3926,889
514,1624
2552,1310
3252,1304
4233,4687
1350,2691
1493,1645
2524,3266
326,2508
1104,1537
1216,2087
1458,2896
3158,421
2652,2451
4476,1919
3676,1272
3202,4562
4071,1142
62,3772
1795,1667
4769,2232
1537,4562
455,4442
3510,2438
3369,3920
4541,647
366,2501
2859,4685
3477,1119
1645,2218
4685,3778
4649,1414
4477,2282
969,4982
1416,4982
1175,1311
4307,3300
2222,2093
2191,3778
428,366
4441,4088
1413,4604
1070,4826
3082,231
305,3747
1056,4326
3552,2646
1976,2627
1418,758
88,2585
2652,3887
4835,2440
1770,4912
4499,3698
4440,4514
4175,1096
4098,4177
2304,4495
4506,234
1300,3202
4791,710
2665,3479
1232,397
1474,2935
4523,4011
4289,4407
1749,4075
4853,4012
3830,3071
52,3370
2957,1952
1060,1643
3942,3514
4877,2480
2941,3227
4270,2722
2227,3577
1635,4624
2196,319
2346,1253
1602,631
230,2524
113,1128
1003,1106
3656,2299
322,3397
1987,3267
2543,1797
3981,3537
3797,4581
4617,4231
1739,545
3537,1385
3037,4481
559,2100
4116,972
1568,3059
3141,114
3168,1461
2293,3618
3297,2355
787,4794
4021,1376
2293,4457
3778,4850
335,2670
1101,3071
540,3210
3415,174
3346,4503
2012,1006
1563,1692
3270,3882
3593,863
1815,4265
3898,1610
3165,4496
1441,241
2602,4810
4155,2867
3375,1843
4362,4419
4519,4038
2918,3408
1656,909
1268,4079
2169,42
4664,1915
1827,3616
1640,2205
4303,838
380,4567
2016,1069
2750,1146
475,3918
1852,2010
4198,4604
2889,3746
4282,3689
2024,4924
4966,3693
1353,1353
1015,372
4525,4568
708,1071
4799,1601
538,2011
1142,2528
4019,2587
2091,4800
143,4381
4191,42
2046,4824
4994,4503
2915,3588
4509,1749
1081,4890
1279,30
4552,2288
802,1248
4700,2703
4921,1300
2887,1859
453,839
884,3423
1206,2211
2440,1576
637,4417
4740,2708
221,1765
2055,4144
2331,1411
4558,247
4542,182
4081,2257
2104,1121
2808,3801
135,919
911,98
1706,98
4574,4905
1585,3096
4581,4936
3783,2007
454,4083
2299,634
2647,374
3148,105
2463,2516
4104,2485
2177,1022
1179,4917
2106,4669
865,2635
4681,794
4194,3313
3231,134
3712,2656
4244,4935
2164,3081
4119,925
733,1949
4979,3631
1109,2013
4614,651
3876,4861
1333,3472
1492,3797
823,4090
3903,4865
4340,404
560,3166
3545,2973
1517,2657
53,2615
353,4114
817,3296
1094,2431
3474,806
256,2903
4019,1036
4394,2014
339,1656
4230,1745
2466,4424
2787,4378
3897,898
2330,4247
4579,938
2950,3125
1465,4864
2574,2841
2353,3172
3259,598
3389,4224
891,1480
1350,1132
2025,3876
4488,1043
3681,2898
2569,644
3593,577
3292,3773
2156,2389
3700,3284
994,2032
3508,762
1140,4449
837,1017
3029,2521
2899,3148
151,3463
2368,437
167,757
1788,2827
1542,3505
1687,3231
1376,4321
2263,1910
4358,2159
4706,2180
2265,2100
2319,4798
1535,1258
3246,1714
3242,3867
351,765
2832,227
3949,3936
2123,1043
3812,4948
3385,232
709,3693
4236,4531
4091,3693
4773,3868
3093,3394
321,534
1410,3701
366,4001
160,352
4647,1789
273,213
2905,397
4162,3566
1917,2377
4806,4482
2005,2707
551,34
1878,3789
4501,4032
2921,4488
4460,2551
3790,2400
1979,4898
1004,4516
25,3166
3987,4072
2663,3775
4425,4473
10,4341
1706,1062
2641,2173
2637,1492
2592,2110
2623,4958
4053,235
4418,3195
2961,1581
4573,3693
1023,4511
1661,723
217,1106
1281,4089
2095,2612
2606,2773
4343,822
788,2527
4750,331
2541,1359
1656,538
4113,3956
4135,4578
124,3204
1110,4106
1353,3523
2319,3602
2688,3950
1606,3265
4975,2133
47,2919
3478,2018
4122,560
3981,2857
762,1189
1574,4789
501,4727
2058,412
2936,588
3975,4356
3465,4357
2147,4064
1703,3965
3424,1285
3255,4949
4991,4138
2957,3736
1620,454
2955,884
1163,1176
4738,877
4324,4806
474,4654
1253,2206
4883,2633
2376,4701
4465,1590
