IdE,certificat_entretien,CodeMembre
1,2003-11-26,15601
2,2013-05-05,17002
3,2008-07-11,19426
4,2012-01-16,57455
5,2013-04-11,8582
6,2021-11-14,13930
7,2019-04-13,45471
8,2023-04-25,76425
9,2007-05-15,84708
10,2018-03-05,61975
11,2008-09-19,30370
12,2010-10-28,72598
13,2002-08-02,11278
14,2021-11-19,66276
15,2013-10-13,94215
16,2011-01-14,32053
17,2011-04-30,74545
18,2023-12-08,75943
19,2014-10-31,8820
20,2012-09-10,77953
21,2012-04-08,7801
22,2013-11-01,35372
23,2001-03-23,80374
24,2016-12-03,89224
25,2012-08-10,36119
26,2019-07-24,22252
27,2002-11-14,16133
28,2018-10-14,69258
29,2016-08-27,39614
30,2021-12-12,92935
31,2020-07-09,42082
32,2002-07-04,22283
33,2013-10-30,47579
34,2001-09-26,53428
35,2013-05-08,40645
36,2024-06-05,60701
37,2005-01-14,22521
38,2006-03-07,12776
39,2015-07-09,99430
40,2023-11-19,72949
41,2006-03-30,94381
42,2000-06-28,79071
43,2020-12-05,85956
44,2022-04-22,77407
45,2020-11-16,87621
46,2016-04-02,84393
47,2018-10-14,24322
48,2005-02-08,37174
49,2015-11-25,29866
50,2013-02-12,72538
51,2022-06-11,36363
52,2024-03-31,71923
53,2020-11-22,50924
54,2011-11-28,16772
55,2023-03-20,86575
56,2023-10-21,84295
57,2022-07-22,31077
58,2016-05-18,31422
59,2017-02-02,87678
60,2018-10-18,28616
61,2022-05-17,10712
62,2005-11-26,56880
63,2008-01-29,81794
64,2005-05-06,39989
65,2016-03-23,62003
66,2017-11-02,20763
67,2021-11-26,59938
68,2002-12-06,95938
69,2021-12-20,18447
70,2017-03-21,98848
71,2007-05-21,19059
72,2011-07-06,59500
73,2024-09-24,60435
74,2019-05-05,78836
75,2012-01-17,57987
76,2020-09-14,83040
77,2009-11-17,42969
78,2003-04-10,29754
79,2005-05-06,54933
80,2007-02-07,39934
81,2004-12-19,28615
82,2005-04-19,64915
83,2021-04-13,90758
84,2021-03-24,5591
85,2015-11-03,49674
86,2009-08-20,5800
87,2009-03-27,99686
88,2001-01-24,85512
89,2020-10-27,5417
90,2005-12-26,8921
91,2019-08-08,62045
92,2024-11-08,99603
93,2009-02-18,99113
94,2014-02-20,58943
95,2011-02-03,51980
96,2016-09-22,29895
97,2009-01-16,3357
98,2005-03-11,17530
99,2024-12-16,15428
100,2005-12-20,86193
101,2017-05-03,23320
102,2023-04-20,14269
103,2016-12-29,90878
104,2014-08-01,78640
105,2023-03-16,76589
106,2009-05-11,22388
107,2020-03-20,97144
108,2006-08-25,42546
109,2021-05-02,22149
110,2014-12-06,77935
111,2021-05-23,71214
112,2011-12-31,84630
113,2022-04-30,98675
114,2021-11-19,88949
115,2011-05-03,3092
116,2002-02-01,9423
117,2003-12-10,42555
118,2015-08-17,80938
119,2020-11-25,70880
120,2021-08-25,60261
121,2003-08-11,86566
122,2013-10-24,1986
123,2020-03-25,20457
124,2022-05-10,59188
125,2022-04-06,94581
126,2007-11-18,51681
127,2019-03-13,9593
128,2018-02-01,1807
129,2022-10-31,69864
130,2022-05-15,42133
131,2019-10-22,1159
132,2018-03-31,71528
133,2018-10-22,89286
134,2023-03-28,25832
135,2007-04-25,36008
136,2018-11-07,21913
137,2012-12-02,14493
138,2012-05-11,26170
139,2020-12-08,16923
140,2024-12-24,75538
141,2011-03-08,53936
142,2011-12-22,43690
143,2023-04-28,23457
144,2021-11-29,23979
145,2017-02-12,5111
146,2007-10-14,29235
147,2012-05-18,41830
148,2009-03-31,5994
149,2022-04-24,49461
150,2021-11-08,58962
151,2016-07-04,49795
152,2008-11-23,7146
153,2005-09-11,60430
154,2006-04-10,82184
155,2005-12-30,11878
156,2001-02-05,85449
157,2022-11-08,49218
158,2021-03-28,20641
159,2000-06-04,90299
160,2013-10-04,35117
161,2017-10-21,32148
162,2011-02-15,45470
163,2024-01-25,18856
164,2018-11-18,7370
165,2022-10-20,79158
166,2021-08-28,65636
167,2019-03-05,84612
168,2017-08-05,87501
169,2014-12-16,44376
170,2012-09-06,1172
171,2010-11-05,76804
172,2015-10-06,76022
173,2016-05-12,9465
174,2023-06-11,70764
175,2015-03-29,42765
176,2019-02-28,84458
177,2017-06-14,35694
178,2017-01-02,13107
179,2022-11-05,60024
180,2020-01-16,52323
181,2011-11-15,45211
182,2014-01-09,81439
183,2017-04-30,66265
184,2007-05-10,28644
185,2013-06-04,5162
186,2000-08-21,7244
187,2016-04-18,31071
188,2005-11-03,12410
189,2024-03-22,55630
190,2010-05-10,46581
191,2024-12-24,5894
192,2012-10-15,69522
193,2013-11-07,36809
194,2011-10-22,9881
195,2012-05-15,9569
196,2016-10-30,48640
197,2013-05-08,92311
198,2006-07-24,51182
199,2006-01-01,12950
200,2021-12-26,2354
201,2024-12-02,51722
202,2015-04-17,17680
203,2008-02-25,68996
204,2006-01-05,65443
205,2023-09-05,44862
206,2021-04-15,4675
207,2001-08-15,51880
208,2012-11-19,48456
209,2021-04-15,42317
210,2024-02-17,20891
211,2012-08-17,85802
212,2022-03-22,2641
213,2021-06-24,32037
214,2018-03-31,14306
215,2007-02-27,2406
216,2007-08-06,85897
217,2020-05-03,36659
218,2012-05-24,61543
219,2007-01-10,39248
220,2013-06-10,29857
221,2005-01-11,96769
222,2016-11-19,45106
223,2021-04-04,29
224,2024-04-01,4892
225,2024-04-10,23304
226,2022-11-09,58229
227,2022-10-11,53855
228,2020-11-08,65791
229,2000-04-12,17707
230,2021-02-18,43838
231,2009-10-26,65138
232,2022-07-26,65541
233,2021-06-15,15298
234,2018-06-09,99854
235,2024-12-03,44283
236,2002-03-03,23820
237,2008-09-02,47073
238,2022-04-02,36828
239,2017-07-03,67111
240,2020-11-20,88204
241,2020-12-04,21065
242,2022-11-14,17577
243,2021-05-08,1722
244,2024-12-15,14277
245,2018-03-28,39098
246,2011-12-10,71765
247,2022-04-11,93659
248,2006-03-30,58162
249,2019-08-28,95988
250,2016-01-19,60275
251,2023-11-13,19774
252,2006-03-29,92432
253,2018-04-20,98841
254,2017-12-13,56451
255,2010-05-08,74161
256,2001-01-24,92231
257,2004-04-06,33809
258,2003-04-12,20484
259,2020-03-28,29368
260,2010-03-29,58798
261,2024-12-18,18791
262,2017-03-30,8863
263,2019-04-18,6487
264,2021-02-02,6251
265,2007-12-18,8180
266,2005-05-19,28388
267,2012-01-05,97591
268,2009-01-11,75043
269,2010-05-12,96444
270,2022-09-06,8120
271,2012-12-02,41271
272,2014-12-24,51506
273,2016-10-13,74342
274,2009-11-20,97953
275,2003-06-16,56916
276,2005-07-19,96744
277,2004-05-13,91603
278,2020-08-10,29077
279,2017-05-03,69460
280,2008-10-04,21288
281,2016-12-03,30938
282,2019-05-15,71265
283,2012-08-18,40740
284,2018-10-10,45860
285,2020-03-16,13090
286,2019-01-10,6872
287,2011-11-28,8608
288,2017-11-21,34476
289,2015-04-11,14253
290,2008-03-27,72281
291,2019-03-23,15457
292,2018-12-15,50266
293,2023-04-09,66612
294,2014-04-07,59861
295,2016-11-01,59644
296,2022-11-28,87054
297,2000-12-05,17181
298,2002-04-10,97114
299,2012-11-05,54910
300,2017-10-18,94612
301,2021-11-12,81467
302,2022-03-20,48069
303,2016-05-05,41011
304,2014-07-13,22816
305,2001-03-07,50765
306,2004-09-11,95493
307,2017-05-05,71119
308,2012-04-03,59708
309,2017-03-31,44383
310,2016-11-19,6467
311,2008-05-05,60914
312,2015-10-17,38576
313,2023-04-09,31011
314,2021-02-04,70653
315,2022-11-28,12687
316,2020-12-11,27755
317,2023-10-20,55784
318,2024-09-03,27516
319,2023-12-18,86362
320,2005-02-07,90893
321,2008-08-13,94935
322,2021-09-05,88944
323,2021-12-20,48080
324,2009-04-08,83595
325,2020-11-01,48434
326,2018-04-20,6263
327,2014-11-08,33685
328,2010-10-21,98262
329,2024-11-24,20264
330,2024-08-09,640
331,2018-03-25,56745
332,2021-12-16,1718
333,2021-10-22,25598
334,2019-05-26,70507
335,2015-04-29,88892
336,2022-04-06,99682
337,2020-09-06,49710
338,2004-02-12,90235
339,2011-05-11,65928
340,2016-01-08,39738
341,2000-04-04,14111
342,2019-05-11,20023
343,2000-10-27,44290
344,2011-04-20,5641
345,2013-12-03,3360
346,2020-11-02,23473
347,2010-08-20,61226
348,2015-11-21,32611
349,2020-11-23,50691
350,2011-09-20,15255
351,2011-09-02,60825
352,2023-04-08,49538
353,2017-02-24,63952
354,2013-05-24,86269
355,2016-01-18,89279
356,2007-05-03,59997
357,2018-12-29,26061
358,2019-04-09,75071
359,2006-09-01,24646
360,2018-01-28,5606
361,2010-10-05,88092
362,2005-09-21,34308
363,2021-03-24,51636
364,2009-10-19,20928
365,2007-01-26,89039
366,2012-11-15,71141
367,2009-11-02,50563
368,2012-11-10,53969
369,2003-03-05,6197
370,2022-04-18,7487
371,2004-11-27,15601
372,2017-05-09,37197
373,2022-04-14,79209
374,2020-10-19,59347
375,2019-03-09,60406
376,2010-05-01,4462
377,2022-03-31,71439
378,2001-08-05,35125
379,2022-11-18,89752
380,2003-05-01,93295
381,2021-04-11,50102
382,2023-04-13,26905
383,2018-02-27,6214
384,2008-08-03,53599
385,2021-04-08,38867
386,2019-04-10,93763
387,2019-03-29,59647
388,2024-03-16,35944
389,2016-11-07,83466
390,2014-07-20,98858
