IdM,IdMo
1624,380
3483,3230
1129,3796
2402,3800
1094,117
381,1792
3598,789
1537,597
792,644
3971,2824
4879,1500
930,3365
4946,4063
1407,4616
4919,4134
4613,337
484,2707
2118,1851
928,4097
2745,1883
1869,3817
2244,3350
1707,4567
4967,58
2754,1587
4175,971
3600,887
3156,384
803,1409
3592,1104
4136,2569
2128,1129
4667,3888
3087,4508
1954,1783
1568,2542
3932,2788
4742,2192
4061,3859
3128,3880
3099,4419
2829,4366
587,4664
2037,1522
7,557
634,2627
731,1755
2518,3985
3785,2595
895,4542
162,3981
4942,4064
4710,563
4733,4967
1498,256
2638,2236
3821,2484
4228,4825
3450,349
827,3542
2656,109
583,1618
4838,186
1589,3540
2781,3051
4287,4554
2705,1632
1883,53
3871,4315
4307,3037
2097,2700
1476,2742
2031,4202
4423,264
195,2529
4701,1024
34,2082
758,744
523,1850
872,1877
4420,3136
2496,1378
3576,3317
1476,2635
3548,1241
2176,3290
917,3815
4787,4950
1126,593
1698,2713
2140,3376
2902,3433
2669,249
1327,3003
1355,3609
418,1117
362,4906
298,2249
4566,4355
1203,2287
3789,4324
3030,1941
2935,1275
624,202
3994,905
1392,2092
2094,3848
643,2588
3737,1851
1972,4503
370,2966
998,4966
936,3361
624,3131
2944,836
3229,936
2466,4019
2559,754
3484,3531
2189,3881
1342,2233
2637,3344
4043,4412
3153,1742
4414,4007
3194,1679
2835,719
642,2306
3483,3602
4139,2544
1353,1030
3550,4541
3207,488
2574,4183
1173,162
4969,4711
1524,1135
1630,3700
2990,2475
3774,4253
3125,4444
451,2372
4117,3622
4736,1197
172,926
2426,2765
1913,50
264,1671
3778,300
3170,3963
2500,649
475,3293
4037,1733
3516,2282
1445,126
2560,2076
4408,4448
1536,340
4723,2693
2101,4976
1616,2507
4153,1639
3719,1008
2946,3208
4261,1722
3104,1934
1471,4685
4560,462
3278,2376
4517,756
4907,2350
31,331
4782,2632
3099,1147
1721,3719
3974,735
329,2605
423,2330
3152,2779
3756,3922
4081,756
2637,2280
4647,4517
4430,3727
780,2447
3566,4844
4881,121
806,4109
567,1634
789,1536
2608,2904
501,1888
4097,1131
4995,3014
2447,645
4790,1065
531,3109
2476,880
1235,1702
4811,3408
4333,4883
1585,120
3059,4965
3600,2061
279,3731
3198,986
2682,4516
301,2787
3280,3766
2809,321
4799,824
3726,1901
2468,86
187,4752
2028,1276
4243,2145
2276,3841
678,617
1994,6
4347,2881
3534,1077
2320,809
247,3561
2649,493
4583,2571
4631,1152
4099,4897
3237,843
698,987
1698,3818
260,1544
268,2334
1161,340
1167,1667
3443,2979
4956,4248
3666,3128
966,4948
3535,218
501,1285
3718,2653
3508,469
1063,885
1077,4877
169,420
3297,2746
2772,2880
4831,695
580,2357
3660,4735
2357,3999
3023,4962
4495,4272
2058,1423
3390,710
4698,1909
2420,2260
768,3420
4240,1173
712,1096
4039,3162
2344,3611
232,1038
2299,2971
3325,2105
2203,1583
4907,708
1461,3357
3113,3306
287,4191
365,2083
4277,1549
2805,1417
2203,2422
4743,1065
4229,3672
3850,866
1502,4631
2916,659
1222,2228
4656,4406
132,455
2307,1044
803,866
3046,924
26,2466
4228,2176
3762,2754
775,883
3130,2983
1422,912
3772,2389
2006,1519
1809,2513
106,2827
2578,1921
226,316
2803,3286
4370,3974
2401,558
3510,2326
1564,3386
1476,2600
1243,2114
4811,436
2657,2381
3985,2081
1756,3441
4507,2691
3084,3019
2022,2726
874,1178
1051,4096
4076,2137
3756,820
3112,828
2708,1148
3024,884
1664,560
3635,2301
3997,1374
3756,2774
377,1147
4690,4858
4855,193
2075,1393
4763,3466
2037,2608
126,4774
970,2872
4253,228
3009,2556
2507,3416
4030,4609
3938,1082
2363,4012
758,4455
1971,1774
1674,496
4995,1772
3079,627
420,3598
2194,3438
587,2914
3330,1630
134,4301
2988,194
4337,2051
48,4281
1205,146
2877,3386
1534,2541
3940,3309
530,3465
3841,915
4875,4199
2487,652
2351,3533
1562,4764
1507,4291
641,605
3356,1503
2269,1970
3307,2758
3671,4442
2885,1571
4444,1393
3130,3889
2949,2279
3590,1184
2701,4378
2081,143
4682,468
1160,3818
4792,103
1093,358
3819,4529
2669,10
2576,365
4338,3156
3176,3251
4366,3244
686,1274
2820,2844
904,3302
3035,3270
693,1733
3445,3949
775,2743
3508,4783
1290,2936
3711,2828
3618,4703
531,4148
1491,1619
1428,3820
1398,4059
3604,1318
2104,4464
2421,3252
4685,3472
4560,527
824,4733
2421,2277
4485,1888
1790,2594
45,4661
232,3680
1306,3945
1097,3685
3517,2323
860,2151
671,4938
3764,4993
4070,67
3307,155
1004,3117
722,1741
3092,4935
3648,567
3080,3422
2964,4537
569,2421
40,1448
557,4389
3759,3723
1087,1937
298,64
3739,4605
2538,810
3878,824
1033,3573
297,3712
3056,2827
3908,4403
3211,1212
2684,3863
1383,1793
1846,383
187,3219
2323,4220
3412,93
1067,2940
1467,1406
3182,1165
4215,2812
1972,2479
10,4267
3446,2296
2574,2394
998,4964
481,2315
3887,2613
1697,4918
3388,883
2166,205
1904,1865
4683,1298
1377,774
2143,1219
1237,3167
4361,2651
486,3327
1939,3658
183,382
1686,1108
715,1018
1282,568
3629,1801
2259,4801
992,1821
2956,1999
2216,709
951,236
972,78
4828,58
2145,4540
4452,1572
2641,3282
349,3659
3208,420
1870,1139
244,1941
2132,2684
4221,3574
4289,4952
1644,4090
1729,2775
1556,3304
3167,4225
2471,4227
973,2707
1247,962
561,58
369,236
4425,331
550,2600
923,4105
2008,2824
2854,971
570,2317
4232,4264
4469,1226
4486,1476
1731,3699
1080,183
2295,3864
2758,984
2972,3158
3821,3634
4929,2215
2523,1882
695,931
35,4956
