IdG,IdR
1,821
2,1826
3,2698
4,811
5,3642
6,296
7,2421
8,3701
9,935
10,3
11,4778
12,3728
13,665
14,2379
15,171
16,1907
17,2127
18,3318
19,1709
20,4800
21,2485
22,440
23,618
24,1031
25,4831
26,3279
27,2103
28,547
29,3932
30,4396
31,3570
32,958
33,232
34,847
35,3383
36,1037
37,3649
38,1099
39,2235
40,1775
41,1239
42,3535
43,3912
44,4111
45,2483
46,3177
47,1669
48,3998
49,1985
50,1580
51,1512
52,2976
53,3521
54,3413
55,480
56,2716
57,994
58,2000
59,594
60,1319
61,3756
62,902
63,843
64,2387
65,3639
66,3129
67,2889
68,50
69,713
70,1015
71,4973
72,1257
73,970
74,1857
75,2410
76,1319
77,3658
78,629
79,3729
80,721
81,2916
82,551
83,3774
84,2600
85,1273
86,198
87,1982
88,1600
89,4176
90,2955
91,2953
92,865
93,689
94,2520
95,1734
96,3136
97,4776
98,1102
99,4425
100,4325
101,3990
102,2241
103,2517
104,329
105,3929
106,3916
107,2813
108,4615
109,1857
110,3996
111,2573
112,4215
113,3698
114,2887
115,2765
116,4685
117,4427
118,256
119,1505
120,1276
121,2858
122,1183
123,1560
124,3798
125,3356
126,4486
127,179
128,50
129,517
130,1209
131,1522
132,1842
133,3959
134,1495
135,1368
136,4925
137,4065
138,3188
139,201
140,4422
141,3010
142,4710
143,4679
144,237
145,95
146,2298
147,571
148,1332
149,1605
150,2062
151,1081
152,4299
153,2134
154,75
155,536
156,2602
157,4711
158,4832
159,1124
160,2681
161,3305
162,4302
163,3251
164,4039
165,4648
166,844
167,693
168,1944
169,1775
170,1028
171,3382
172,1675
173,3844
174,236
175,874
176,1535
177,2949
178,1423
179,3479
180,2036
181,1148
182,4203
183,1604
184,3308
185,927
186,4299
187,4219
188,474
189,3676
190,937
191,825
192,852
193,2203
194,3762
195,706
196,1296
197,2654
198,2163
199,2163
200,2794
201,2167
202,4428
203,3011
204,1216
205,4612
206,847
207,4562
208,448
209,3171
210,1737
211,255
212,1336
213,3000
214,1799
215,4065
216,4477
217,1632
218,1404
219,1278
220,2950
221,3823
222,3336
223,4710
224,3176
225,4942
226,3163
227,4134
228,3919
229,4330
230,391
231,2318
232,2810
233,4743
234,1137
235,2965
236,2859
237,1138
238,4721
239,4519
240,66
241,2302
242,3248
243,288
244,1633
245,3096
246,95
247,2588
