idI,IdC
1,2613
2,679
3,2278
4,201
5,1631
6,3378
7,4640
8,1629
9,2454
10,620
11,4779
12,2699
13,1232
14,528
15,1712
16,2444
17,2913
18,3392
19,2622
20,1264
21,1774
22,3249
23,4067
24,1657
25,2591
26,1703
27,1072
28,2727
29,4158
30,3501
31,15
32,2364
33,4607
34,1007
35,2203
36,4681
37,3281
38,265
39,2046
40,3987
41,4484
42,1329
43,353
44,793
45,2078
46,3251
47,3543
48,3845
49,1332
50,2526
51,2566
52,2421
53,4935
54,3110
55,627
56,1742
57,981
58,2823
59,1178
60,4514
61,4905
62,2126
63,176
64,2356
65,1351
66,2788
67,1488
68,3917
69,2109
70,1985
71,659
72,510
73,3908
74,1235
75,4265
76,2530
77,536
78,273
79,1961
80,1180
81,1175
82,962
83,4989
84,3107
85,2168
86,4289
87,39
88,3979
89,4488
90,4472
91,3550
92,4377
93,4638
94,3780
95,804
96,3721
97,3973
98,411
99,3057
100,3669
101,2892
102,3432
103,3754
104,376
105,2050
106,2329
107,1524
108,120
109,4990
110,2149
111,2631
112,1964
113,3374
114,4662
115,1036
116,4994
117,1533
118,604
119,4337
120,3701
121,4969
122,4544
123,4867
124,2037
125,654
126,3800
127,2498
128,2130
129,1021
130,166
131,1688
132,3708
133,192
134,2600
135,602
136,2852
137,2478
138,4955
139,4945
140,3395
141,246
142,4321
143,1445
144,1527
145,435
146,2363
147,1681
148,3358
149,4422
150,4938
151,503
152,4104
153,3679
154,1058
155,2132
156,2743
157,2145
158,1860
159,2567
160,1953
161,1820
162,1087
163,532
164,3993
165,4907
166,1282
167,1485
168,3895
169,2476
170,4981
171,3752
172,675
173,2167
174,3184
175,3894
176,4270
177,916
178,2216
179,3101
180,1065
181,4962
182,586
183,2576
184,2464
185,4534
186,3648
187,5
188,1709
189,220
190,428
191,2550
192,4361
193,2368
194,3634
195,2110
196,3903
197,307
198,3308
199,2200
200,2048
201,4614
202,4190
203,4917
204,1651
205,1415
206,4344
207,3102
208,463
209,2874
210,4153
211,2757
212,3603
213,4142
214,944
215,3351
216,2002
