IdL,verifie,nom
1,0,Salsifis
2,1,Topinambour
3,0,Carotte
4,1,Ail
5,1,Artichaut
6,0,Panais
7,1,Artichaut
8,0,Navet
9,0,Panais
10,1,Topinambour
11,1,Navet
12,0,Raifort
13,0,Topinambour
14,1,Chou
15,0,Carotte
16,1,Panais
17,0,Poireau
18,0,Raifort
19,1,Salsifis
20,0,Panais
21,1,Betterave
22,0,Poireau
23,1,Artichaut
24,0,Ail
25,0,Navet
26,0,Raifort
27,0,Chou
28,1,Salsifis
29,1,Oignon
30,0,Navet
31,1,Panais
32,1,Chou
33,0,Salsifis
34,0,Artichaut
35,0,Chou
36,1,Salsifis
37,1,Topinambour
38,0,Panais
39,1,Panais
40,1,Artichaut
41,1,Salsifis
42,0,Salsifis
43,0,Navet
44,1,Raifort
45,1,Topinambour
46,0,Betterave
47,0,Carotte
48,1,Chou
49,0,Navet
50,1,Chou
51,0,Raifort
52,0,Ail
53,1,Topinambour
54,0,Salsifis
55,0,Carotte
56,1,Chou
57,0,Salsifis
58,0,Poireau
59,1,Poireau
60,1,Navet
61,0,Topinambour
62,0,Topinambour
63,0,Ail
64,0,Navet
65,1,Oignon
66,0,Ail
67,1,Topinambour
68,0,Chou
69,1,Topinambour
70,0,Raifort
71,1,Oignon
72,1,Poireau
73,0,Ail
74,0,Carotte
75,0,Artichaut
76,0,Salsifis
77,0,Ail
78,0,Navet
79,1,Navet
80,1,Ail
81,0,Topinambour
82,1,Oignon
83,0,Chou
84,1,Carotte
85,1,Ail
86,0,Salsifis
87,1,Betterave
88,1,Betterave
89,0,Salsifis
90,1,Oignon
91,1,Artichaut
92,1,Artichaut
93,0,Chou
94,1,Salsifis
95,0,Oignon
96,0,Navet
97,0,Artichaut
98,1,Topinambour
99,1,Ail
100,1,Navet
101,0,Poireau
102,0,Navet
103,0,Salsifis
104,0,Oignon
105,1,Topinambour
106,1,Raifort
107,1,Topinambour
108,1,Navet
109,1,Ail
110,1,Topinambour
111,1,Ail
112,0,Artichaut
113,0,Raifort
114,1,Artichaut
115,0,Poireau
116,0,Oignon
117,1,Panais
118,1,Oignon
119,1,Ail
120,0,Ail
121,0,Betterave
122,1,Betterave
123,0,Carotte
124,1,Panais
125,0,Chou
126,0,Navet
127,1,Oignon
128,1,Betterave
129,0,Artichaut
130,1,Carotte
131,0,Raifort
132,1,Carotte
133,0,Topinambour
134,0,Raifort
135,1,Artichaut
136,0,Poireau
137,0,Raifort
138,0,Navet
139,0,Carotte
140,0,Ail
141,1,Artichaut
142,1,Salsifis
143,0,Topinambour
144,0,Betterave
145,1,Navet
146,1,Ail
147,0,Navet
148,0,Raifort
149,0,Poireau
150,0,Artichaut
151,0,Ail
152,1,Panais
153,1,Carotte
154,1,Raifort
155,0,Panais
156,1,Panais
157,0,Chou
158,1,Navet
159,1,Raifort
160,0,Oignon
161,0,Salsifis
162,0,Salsifis
163,1,Topinambour
164,1,Ail
165,0,Navet
166,0,Raifort
167,1,Panais
168,0,Oignon
169,1,Salsifis
170,1,Carotte
171,1,Betterave
172,1,Oignon
173,0,Carotte
174,0,Oignon
175,0,Topinambour
176,1,Oignon
177,1,Carotte
178,0,Chou
179,0,Betterave
180,1,Poireau
181,1,Navet
182,1,Raifort
183,0,Salsifis
184,1,Raifort
185,1,Topinambour
186,0,Raifort
187,0,Topinambour
188,1,Panais
189,0,Topinambour
190,1,Raifort
191,0,Chou
192,1,Salsifis
193,1,Chou
194,0,Betterave
195,1,Raifort
196,0,Ail
197,0,Chou
198,1,Oignon
199,0,Topinambour
200,0,Navet
201,0,Artichaut
202,0,Panais
203,0,Chou
204,0,Topinambour
205,1,Panais
206,0,Salsifis
207,1,Artichaut
208,0,Navet
209,1,Betterave
210,1,Panais
211,0,Betterave
212,1,Betterave
213,0,Panais
214,1,Navet
215,0,Oignon
216,1,Ail
217,0,Salsifis
218,1,Carotte
219,0,Topinambour
220,1,Salsifis
221,0,Artichaut
222,0,Poireau
223,0,Raifort
224,1,Poireau
225,0,Artichaut
226,0,Artichaut
227,1,Artichaut
228,0,Ail
229,1,Panais
230,0,Betterave
231,0,Artichaut
232,0,Betterave
233,0,Poireau
234,1,Topinambour
235,0,Artichaut
236,1,Navet
237,0,Carotte
238,0,Poireau
239,1,Salsifis
240,0,Chou
241,0,Navet
242,0,Chou
243,1,Oignon
244,1,Navet
245,1,Poireau
246,0,Panais
247,1,Ail
248,0,Carotte
249,1,Salsifis
250,1,Chou
251,0,Navet
252,0,Artichaut
253,0,Topinambour
254,0,Raifort
255,1,Ail
256,0,Oignon
257,0,Oignon
258,0,Panais
259,0,Chou
260,1,Navet
261,1,Poireau
262,1,Carotte
263,0,Navet
264,1,Ail
265,1,Carotte
266,0,Poireau
