IdOrdre,IdO
1,1720
2,4717
3,2287
4,4139
5,1145
6,1989
7,3176
8,3462
9,4261
10,1770
11,92
12,1979
13,1029
14,4328
15,3466
16,4262
17,2675
18,1233
19,4102
20,3250
21,2734
22,3268
23,821
24,1107
25,4952
26,4058
27,3091
28,2558
29,4798
30,3055
31,1526
32,4939
33,4707
34,9
35,4118
36,3719
37,1628
38,591
39,4769
40,2846
41,1695
42,1793
43,3420
44,4254
45,1096
46,3624
47,20
48,4994
49,1693
50,1708
51,2733
52,4167
53,3604
54,2192
55,3328
56,3845
57,2084
58,4062
59,4319
60,1789
61,1756
62,913
63,3724
64,2484
65,1277
66,1687
67,4388
68,4085
69,4638
70,2400
71,3171
72,4151
73,4520
74,3211
75,149
76,3276
77,4016
78,666
79,4373
80,729
81,2330
82,4302
83,55
84,123
85,901
86,3145
87,4012
88,2314
89,3354
90,3018
91,2959
92,4844
93,2474
94,2275
95,1890
96,3375
97,4558
98,2151
99,2183
100,950
101,1063
102,1100
103,2641
104,1909
105,3347
106,4431
107,2773
108,2080
109,3105
110,4548
111,2603
112,3904
113,2155
114,2988
115,3213
116,2708
117,4083
118,4503
119,4471
120,206
121,1528
122,586
123,151
124,3336
125,4833
126,2154
127,1212
128,3605
129,626
130,3475
131,1678
132,104
133,312
134,1586
135,878
136,2808
137,1537
138,1210
139,4615
140,4853
141,2528
142,568
143,2786
144,3194
145,3264
146,202
147,2730
148,405
149,4847
150,2272
151,2429
152,3093
153,3796
154,2836
155,3304
156,3908
157,246
158,2844
159,340
160,4022
161,1794
162,2845
163,1797
164,4458
165,2646
166,604
167,2776
168,1051
169,804
170,3608
171,2542
172,2023
173,572
174,4924
175,3889
176,3486
177,2292
178,1311
179,4944
180,833
181,2301
182,4757
183,263
184,1562
185,1490
186,4973
187,1840
188,4521
189,3057
190,4753
191,3812
192,4222
193,4421
194,69
195,1801
196,3084
197,3662
198,3590
199,3443
200,1154
201,4465
202,4213
203,2439
204,3980
205,1074
206,4917
207,2618
208,3510
209,327
210,1796
211,1437
212,1788
213,3260
214,4391
215,2840
216,465
217,3784
218,3202
219,1102
220,3977
221,1072
222,2389
223,1001
224,3913
225,1884
226,2999
227,1744
228,3434
229,2711
230,4676
231,3111
232,2045
233,1727
234,4052
235,4585
236,3098
237,2105
238,3582
239,1686
240,693
241,1859
242,672
243,2362
244,1052
245,1284
246,4394
247,2437
248,1839
249,3148
250,1750
251,3100
252,550
253,1773
254,2667
255,63
256,3706
257,1253
258,2638
259,1374
260,144
261,3406
262,3996
263,975
264,1271
265,2607
266,3827
267,2338
268,2731
269,2754
270,2823
271,3526
272,3955
273,4673
274,137
275,1155
276,1791
277,1887
278,1403
279,164
280,4086
281,228
282,209
283,2225
284,4013
285,3051
286,1448
287,2500
288,4835
289,4174
290,3427
291,3062
292,4369
293,240
294,2108
295,2615
296,1725
297,64
298,4851
299,644
300,3499
301,2112
302,3005
303,4312
304,3357
305,2725
306,194
307,3308
308,816
309,685
310,2971
311,2278
312,2832
313,2514
314,1227
315,217
316,4559
317,4030
318,2562
319,3389
320,281
321,2382
322,3883
323,4868
324,4519
325,1462
326,4803
327,4195
328,580
329,1764
330,4044
331,4759
332,1182
333,4193
334,4393
335,109
336,1274
337,76
338,3701
339,2921
340,1143
341,759
342,542
343,1351
344,2756
345,2604
346,402
347,508
348,4451
349,4962
350,3700
351,2473
352,881
353,1098
354,1847
355,3063
356,401
357,4683
358,1787
359,2702
360,3697
361,1080
362,746
363,3089
364,3658
365,859
366,3587
367,3997
368,3412
369,4773
370,2211
371,1056
372,2715
373,38
374,929
375,3732
376,386
377,4518
378,2819
379,4543
380,806
381,4100
382,850
383,995
384,4885
385,1784
386,2759
387,1402
388,2178
389,4114
390,384
391,3020
392,4351
393,3657
394,1049
395,4681
396,1133
397,4375
398,231
399,106
400,152
401,2251
402,3212
403,3901
404,421
405,2342
406,4042
407,2182
408,159
409,1206
410,4470
411,2591
412,3533
413,4755
414,2874
415,2385
416,674
417,3275
418,178
419,4764
420,2158
421,1276
422,703
423,921
424,3404
425,1850
426,3545
427,4496
428,4768
429,2978
430,4275
431,2169
432,2029
433,4573
434,1091
435,2316
436,182
437,3884
438,3768
439,1146
440,4129
441,1230
442,778
443,2191
444,3069
445,1860
446,3180
447,4480
448,2885
449,3029
450,1008
451,657
452,1368
453,2627
454,1179
455,1705
456,4728
457,4003
458,3734
459,3344
460,4255
461,524
462,603
463,2375
464,1795
465,1614
466,2106
467,489
468,3941
469,2914
470,2967
471,1481
472,4920
473,3791
474,4964
475,2652
476,2060
477,1126
478,2843
479,4452
480,3385
481,3943
482,4240
483,1141
484,4315
485,365
486,329
487,1938
488,3877
489,710
490,3076
491,1507
492,1898
493,2181
494,205
495,2231
496,1864
497,4378
498,1084
499,1257
500,2519
501,3556
502,2087
503,1975
504,4524
505,3096
506,4043
507,923
508,4998
509,1162
510,223
511,2298
512,3157
513,1883
514,3014
515,4763
516,2611
517,378
518,33
519,3476
520,2463
521,1422
522,1296
523,2256
524,3859
525,2107
526,790
527,856
528,1412
529,1235
530,874
531,3902
532,2434
533,1553
534,3729
535,97
536,4207
537,3295
538,814
539,3647
540,3040
541,2522
542,904
543,4723
544,3358
545,179
546,4661
547,700
548,597
549,1489
550,4444
551,3455
552,4148
553,4568
554,1267
555,2544
556,2761
557,779
558,4776
559,4594
560,3115
561,4434
562,2331
563,333
564,4165
565,2629
566,77
567,3016
568,3678
569,2492
570,2862
571,4702
572,2460
573,4238
574,4009
575,352
576,2626
577,2686
578,3602
579,1692
580,3939
581,458
582,1346
583,1962
584,399
585,4688
586,1508
587,4219
588,925
589,3399
590,4099
591,532
592,4653
593,2349
594,3488
595,4269
596,3446
597,493
598,4128
599,803
600,1103
601,2212
602,2173
603,4317
604,2650
605,3500
606,3453
607,1724
608,1347
609,3727
610,828
611,1711
612,2300
613,3826
614,3184
615,383
616,2678
617,298
618,3638
619,2487
620,3013
621,3611
622,4828
623,1236
624,4235
625,2038
626,835
627,2413
628,830
629,4699
630,1535
631,1658
632,3942
633,2265
634,4954
635,3763
636,4347
637,4832
638,2769
639,2213
640,2115
641,2188
642,3688
643,4600
644,1823
645,2775
646,4730
647,4427
648,1157
649,4977
650,4220
651,4991
652,2717
653,1425
654,175
655,3028
656,167
657,1807
658,912
659,4440
660,2563
661,2350
662,3352
663,3034
664,1912
665,244
666,2864
667,2119
668,2981
669,4311
670,4079
671,650
672,2011
673,4214
674,1299
675,3174
676,3640
677,1994
678,2373
679,1400
680,1631
681,4051
682,1659
683,1957
684,2395
685,1849
686,4799
687,636
688,1973
689,4640
690,1032
691,1419
692,4084
693,4243
694,2586
695,4993
696,577
697,2417
698,4901
699,2682
700,3182
701,2366
702,4674
703,1585
704,1640
705,1224
706,4231
707,2466
708,2911
709,1670
710,2495
711,4710
712,2056
713,3234
714,607
715,2467
716,2512
717,204
718,3835
719,3493
720,1559
721,641
722,496
723,3531
724,56
725,3743
726,4305
727,3821
728,3274
729,317
730,2419
731,829
732,3467
733,2510
734,2423
735,3537
736,3543
737,2851
738,2680
739,454
740,1278
741,2116
742,3975
743,318
744,1755
745,4665
746,3160
747,4856
748,369
749,1304
750,1831
751,272
752,1386
753,2249
754,301
755,313
756,4209
757,2701
758,2797
759,4454
760,4066
761,2241
762,1865
763,2613
764,334
765,935
766,4438
767,476
768,4252
769,1826
770,4015
771,4020
772,4961
773,4817
774,1092
775,2197
776,587
777,520
778,659
779,142
780,2174
781,3471
782,815
783,2268
784,1899
785,3885
786,894
787,896
788,4858
789,3087
790,3175
791,994
792,1512
793,3570
794,3674
795,2347
796,2521
797,1660
798,1653
799,2371
800,4806
801,3808
802,3781
803,2299
804,3080
805,349
806,3278
807,1809
808,2995
809,3961
810,2388
811,4616
812,4298
813,843
814,1205
815,3862
816,3871
817,784
818,647
819,1208
820,2781
821,4874
822,2632
823,4982
824,1838
825,3981
826,1417
827,1978
828,1130
829,785
830,1972
831,931
832,936
833,3287
834,1757
835,2132
836,945
837,1656
838,622
839,4196
840,3003
841,3319
842,4895
843,2575
844,3783
845,1215
846,4541
847,4891
848,4516
849,2077
850,99
851,2533
852,31
853,2435
854,2621
855,2387
856,3664
857,484
858,4392
859,4098
860,4212
861,3801
862,1396
863,760
864,4173
865,3463
866,353
867,3423
868,2746
869,4850
870,2019
871,3419
872,1846
873,1352
874,2199
875,2944
876,3226
877,3303
878,3838
879,1123
880,4540
881,4303
882,3598
883,1967
884,3642
885,1588
886,3842
887,3302
888,3114
889,2889
890,849
891,2013
892,3683
893,1045
894,498
895,3789
896,188
897,1395
898,1761
899,1331
900,4533
901,2532
902,1543
903,2969
904,122
905,395
906,1195
907,3920
908,1529
909,4915
910,328
911,4563
912,511
913,2128
914,1941
915,4178
916,1193
917,108
918,4293
919,3135
920,3806
921,1134
922,260
923,1874
924,2578
925,4245
926,4824
927,2606
928,2679
929,4624
930,2246
931,2363
932,4194
933,4127
934,4771
935,3534
936,78
937,232
938,2079
939,2142
940,3269
941,4772
942,2572
943,2811
944,2748
945,3712
946,2024
947,4215
948,4407
949,433
950,3210
951,914
952,2806
953,930
954,3341
955,4234
956,381
957,1161
958,3484
959,1541
960,66
961,4825
962,1036
