IdR,IdM
1914,1543
694,980
2459,3881
3142,825
4424,2230
2701,1864
4537,4337
1366,2852
3459,4550
4408,3345
1692,245
4139,2086
3448,2552
4434,4096
4906,1144
3290,4109
1749,743
383,3622
1443,3187
523,2800
1709,228
50,1590
1744,4985
1229,473
1666,351
4686,1359
2498,2036
3488,1397
2479,3558
15,690
1162,3054
1851,3261
72,3883
2274,1406
3711,3217
1992,1554
2616,1446
1376,4404
4223,36
4851,3055
3247,1228
1999,2737
512,2484
230,418
4621,1439
4991,3934
1630,2919
2953,1510
703,1981
3736,2524
3199,302
1692,3185
4433,878
376,1468
1625,4015
3028,1585
2750,3873
4782,3074
1297,3277
4391,2213
2233,387
2224,2229
4695,1473
1857,4206
3030,3281
1522,4120
1373,62
4445,682
2565,3666
4530,2481
3831,2310
4259,2945
2700,550
4505,2451
3589,983
368,1976
4512,2497
2126,2825
4196,4119
4674,271
2233,606
3822,3632
3602,3361
4829,1460
1218,4931
1204,3905
3449,1785
1812,1860
1596,1423
1507,4391
4415,1128
3181,1132
187,3881
748,4390
2766,3099
1132,1839
3884,1340
1869,1670
3911,4366
1742,117
4603,1155
4018,4562
3106,3685
3011,3720
1072,3439
157,2023
2278,1203
2955,2732
1197,202
1228,2697
311,2665
2833,1255
4811,1078
2194,4431
2722,3740
3434,4879
2189,4697
4011,43
932,3666
1165,2546
286,3437
1280,1346
778,4113
2510,396
1851,2565
2944,2385
1767,694
2531,1335
2662,3749
4707,4248
4153,131
311,2766
1033,2373
2147,1381
41,2209
1862,4189
2222,2915
288,3405
1897,845
1231,4882
4987,3037
800,936
3248,2699
4677,4947
3941,2866
298,189
1759,1898
3980,2251
3638,1146
108,2823
4369,1961
4898,2625
2932,407
1437,4223
4344,3701
2324,3425
3329,1822
1999,4992
486,1936
1573,2039
725,409
2488,4662
3483,3806
3226,3732
627,54
2131,2284
4198,1749
3996,2504
2576,4013
1658,4660
4526,2994
1984,3666
436,2227
3832,880
125,737
4174,2106
4342,261
3384,787
232,415
2829,4613
895,2966
426,4076
2325,2449
4055,3456
1253,2475
2764,3792
4048,588
100,3272
2084,4765
4335,19
660,3099
2561,4691
522,4480
2406,1663
2190,29
2662,623
3295,2403
682,2895
147,3147
3094,3833
2658,2816
4816,670
3872,3549
1662,3580
383,486
136,24
4448,68
1221,565
4382,2142
2336,4121
4642,3797
