idS,IdC
1,4818
2,845
3,21
4,182
5,1965
6,351
7,4231
8,4617
9,3676
10,1407
11,1843
12,2816
13,3309
14,2039
15,3185
16,3035
17,2946
18,1262
19,3778
20,4337
21,2730
22,2295
23,3873
24,2844
25,4186
26,699
27,2666
28,980
29,756
30,3500
31,2988
32,4549
33,4407
34,4047
35,4724
36,2245
37,4128
38,241
39,1622
40,3393
41,3541
42,3464
43,1564
44,3125
45,3190
46,2957
47,126
48,2847
49,947
50,2003
51,2228
52,2568
53,2017
54,3487
55,1529
56,3315
57,629
58,149
59,948
60,4912
61,3255
62,1371
63,2545
64,4869
65,2567
66,4386
67,716
68,4600
69,2418
70,2931
71,1548
72,2702
73,3781
74,2121
75,4155
76,2009
77,2387
78,1604
79,2341
80,255
81,2638
82,3868
83,4972
84,1605
85,2964
86,2715
87,4020
88,159
89,3001
90,3751
91,4880
92,4377
93,3231
94,4350
95,3408
96,1449
97,358
98,3863
99,3451
100,7
101,2806
102,654
103,1632
104,4907
105,519
106,1145
107,3599
108,1086
109,321
110,418
111,1389
112,3297
113,2644
114,2726
115,1977
116,976
117,1878
118,2444
119,1135
120,2857
121,3385
122,3140
123,1925
124,3015
125,1902
126,3168
127,4057
128,2265
129,3360
130,1442
131,4612
132,2420
133,4791
134,2474
135,543
136,2889
137,1880
138,2742
139,3511
140,3561
141,808
142,4934
143,4642
144,3512
145,3043
146,1921
147,2169
148,1046
149,1642
150,3754
151,1517
152,883
153,3460
154,695
155,2269
156,1649
157,4804
158,4317
159,4076
160,2838
161,78
162,1384
163,3194
164,3083
165,4888
166,4483
167,1866
168,2535
169,801
170,1645
171,975
172,556
173,2731
174,750
175,49
176,2311
177,2256
178,1138
179,1246
180,2412
181,4606
182,376
183,4529
184,439
185,2656
186,32
187,1274
188,3829
189,3074
190,2012
191,772
192,1255
193,952
194,3692
195,1017
196,1523
197,1946
198,4695
199,3182
200,3137
201,1483
202,1931
203,3651
204,3560
205,470
206,2663
207,3401
208,3566
209,311
210,2833
211,227
212,3874
213,340
214,2325
215,1397
216,3536
217,1142
218,3610
219,3136
220,3072
221,3256
222,4656
223,1224
224,4010
225,415
226,3022
227,2043
228,1546
229,2219
230,1712
231,4075
232,851
233,263
234,4660
235,752
236,3621
237,3404
238,1779
239,826
240,1796
241,2326
242,2469
243,2525
244,1043
245,3034
246,2692
247,2190
248,1894
249,1271
250,273
251,3221
252,530
253,3373
254,3744
255,1058
256,1882
257,1583
258,3656
259,1753
260,1684
261,3303
262,1493
263,3740
264,1083
265,2303
266,656
267,4849
268,4438
269,2143
270,2926
271,2430
272,1233
273,4899
274,1886
275,4798
276,3730
277,1644
278,3538
279,564
280,414
281,54
282,2876
283,4965
284,1938
285,1418
286,1428
287,1130
288,4933
289,3673
290,3148
291,2996
292,605
293,3100
294,3821
295,810
296,3424
297,1257
298,99
299,1970
300,4633
301,1801
302,1070
303,858
304,3118
305,3880
306,2343
307,3732
308,1831
309,1374
310,3847
311,1226
312,1132
313,4706
314,2605
315,2769
316,338
317,3396
318,2128
319,1747
320,2466
321,312
322,39
323,4272
324,2486
325,1720
326,475
327,1422
328,2573
329,2711
330,2994
331,3693
332,2664
333,1717
334,2027
335,356
336,2571
337,1221
338,4291
339,3459
340,2156
341,3108
342,987
343,4257
344,3049
345,746
346,1490
347,3649
348,2423
349,4551
350,1303
351,3809
352,2480
353,2831
354,3926
355,3440
356,4320
357,1357
358,4987
359,3477
360,4589
361,2276
362,1732
363,4735
364,4830
365,2246
366,1386
367,4385
368,197
369,3
370,1317
371,3109
372,3400
373,1174
374,1300
375,705
376,3417
377,2945
378,4851
379,4570
380,3756
381,4654
382,4044
383,4396
384,762
385,4308
386,4370
387,1385
388,1110
389,4364
390,1155
391,347
392,4765
393,841
394,1118
395,2673
396,2098
397,2362
398,768
399,1104
400,4892
401,3174
402,2376
403,1974
404,2850
405,918
406,4113
407,428
408,3020
409,2963
410,3206
411,2287
412,3712
413,1501
414,4487
415,3302
416,999
417,2555
418,1015
419,63
420,481
421,3154
422,2935
423,2194
424,4753
425,2839
426,4566
427,1191
428,607
429,601
430,3099
431,3678
432,3012
433,4366
434,1448
435,620
436,4942
437,3906
438,381
439,4673
440,4085
441,734
442,949
443,3331
444,4189
445,4232
446,2378
447,3550
448,1641
449,2782
450,3122
451,1498
452,1734
453,1586
454,1263
455,2176
456,2962
457,4169
458,3249
459,3478
460,2924
461,1513
462,3441
463,3998
464,1911
465,2637
466,4505
467,3864
468,3379
469,3226
470,3288
471,2337
472,1351
473,2025
474,890
475,3494
476,2336
477,41
478,1254
479,1639
480,3056
481,2970
482,3563
483,516
484,585
485,4598
486,1521
487,796
488,3578
489,1722
490,4129
491,662
492,4789
493,995
494,4315
495,3017
496,1733
497,3454
498,1471
499,4040
500,1664
501,2237
502,764
503,3308
504,2226
505,1227
506,4898
507,1285
508,4690
509,3630
510,3448
511,1181
512,3783
513,1156
514,2823
515,2006
516,4567
517,2490
518,1872
519,2054
520,873
521,3752
522,1275
523,1494
524,2975
525,3270
526,665
527,3224
528,2539
529,1025
530,3687
531,2745
532,3849
533,1398
534,2057
535,1457
536,741
537,1273
538,591
539,3681
540,3069
541,3637
542,1614
543,1450
544,4698
545,109
546,1462
547,1585
548,3543
549,4222
550,3217
551,1144
552,4127
553,4064
554,1691
555,3300
556,3265
557,3003
558,2785
559,1223
560,2366
561,3513
562,1943
563,2667
564,840
565,1697
566,1661
567,4007
568,4841
569,1689
570,1968
571,449
572,207
573,3557
574,2262
575,1768
576,771
577,3869
578,2510
579,4838
580,1658
581,2760
