IdC,type_aliment,nom,allergene
1,Poisson,Brochet en gelée #202,Aucun
2,Céréale,Épeautre #651,Soja
3,Fruit,Pomme sauvage #923,Arachides
4,Épice,Safran #523,"Sulfites, Céleri"
5,Champignon,Truffe noire #225,Aucun
6,Viande,Venaison #138,"Céleri, Moutarde"
7,Épice,Poivre long #125,"Sésame, Moutarde, Sulfites"
8,Légumineuse,Lentilles du Puy #491,"Soja, Gluten"
9,Épice,Épices orientales #125,Moutarde
10,Viande,Canard fumé #22,"Moutarde, Sulfites"
11,Herbe,Romarin #474,"Gluten, Sulfites"
12,Légume,Chou frisé #2,"Soja, Gluten"
13,Épice,Poivre long #583,"Céleri, Sulfites"
14,Légume,Navet confit #930,"Moutarde, Céleri, Sulfites"
15,Fruit,Verjus #256,Aucun
16,Herbe,Thym sauvage #224,"Gluten, Céleri, Sulfites"
17,Épice,Poivre long #177,"Sésame, Céleri, Gluten"
18,Épice,Safran #925,"Céleri, Gluten, Moutarde"
19,Céréale,Épeautre #257,"Fruits à coque, Arachides"
20,Céréale,Épeautre #967,Arachides
21,Viande,Canard fumé #356,Oeufs
22,Fruit,Verjus #792,"Arachides, Soja, Fruits à coque"
23,Épice,Épices orientales #977,Gluten
24,Herbe,Romarin #132,"Sulfites, Céleri, Gluten"
25,Herbe,Romarin #226,Aucun
26,Légume,Navet confit #775,"Gluten, Céleri, Moutarde"
27,Herbe,Thym sauvage #47,Aucun
28,Épice,Poivre long #536,Aucun
29,Herbe,Thym sauvage #652,Céleri
30,Épice,Épices orientales #519,Sulfites
31,Légume,Navet confit #916,"Gluten, Soja"
32,Légumineuse,Lentilles du Puy #346,"Lupin, Gluten"
33,Légume,Chou frisé #608,"Gluten, Moutarde"
34,Légume,Navet confit #623,"Lupin, Moutarde, Céleri"
35,Épice,Poivre long #908,Aucun
36,Viande,Canard fumé #133,Aucun
37,Céréale,Épeautre #877,"Arachides, Fruits à coque"
38,Épice,Poivre long #586,"Sulfites, Moutarde, Sésame"
39,Légume,Chou frisé #114,Aucun
40,Viande,Venaison #826,Aucun
41,Légume,Chou frisé #581,Aucun
42,Légumineuse,Lentilles du Puy #756,Sulfites
43,Légumineuse,Lentilles du Puy #203,Sulfites
44,Épice,Poivre long #73,"Sésame, Gluten, Moutarde"
45,Fruit,Pomme sauvage #362,Aucun
46,Légume,Chou frisé #396,"Moutarde, Sulfites"
47,Légume,Chou frisé #174,"Moutarde, Soja"
48,Champignon,Truffe noire #995,"Céleri, Sulfites, Gluten"
49,Légume,Navet confit #245,Gluten
50,Légume,Navet confit #140,Céleri
51,Légume,Chou frisé #712,Aucun
52,Herbe,Thym sauvage #13,"Gluten, Sulfites"
53,Épice,Poivre long #656,"Sésame, Gluten, Sulfites"
54,Légume,Chou frisé #854,"Gluten, Moutarde, Soja"
55,Légume,Navet confit #470,Gluten
56,Champignon,Truffe noire #381,"Sulfites, Gluten"
57,Produit laitier,Fromage affiné #402,Gluten
58,Légume,Chou frisé #729,"Soja, Sulfites, Lupin"
59,Céréale,Épeautre #3,"Gluten, Fruits à coque, Lupin"
60,Fruit,Pomme sauvage #767,Aucun
61,Légume,Chou frisé #597,"Moutarde, Gluten"
62,Viande,Agneau rôti #358,Aucun
63,Champignon,Truffe noire #876,"Sulfites, Céleri, Gluten"
64,Herbe,Thym sauvage #806,Céleri
65,Épice,Safran #946,Aucun
66,Viande,Mouton braisé #260,"Oeufs, Sulfites"
67,Légume,Chou frisé #696,"Céleri, Sulfites, Soja"
68,Céréale,Épeautre #385,Aucun
69,Viande,Agneau rôti #933,Oeufs
70,Épice,Épices orientales #45,"Sésame, Céleri, Sulfites"
71,Épice,Épices orientales #647,"Sulfites, Céleri, Sésame"
72,Céréale,Épeautre #247,"Gluten, Lupin"
73,Champignon,Truffe noire #613,"Céleri, Sulfites"
74,Légume,Chou frisé #522,"Sulfites, Moutarde, Céleri"
75,Légumineuse,Lentilles du Puy #416,Aucun
76,Épice,Poivre long #482,Aucun
77,Épice,Épices orientales #615,Aucun
78,Épice,Épices orientales #682,Aucun
79,Viande,Agneau rôti #497,Aucun
80,Légume,Navet confit #329,"Lupin, Sulfites, Céleri"
81,Épice,Poivre long #669,"Sulfites, Céleri, Moutarde"
82,Champignon,Truffe noire #153,Aucun
83,Herbe,Romarin #591,"Sulfites, Gluten"
84,Produit laitier,Fromage affiné #314,Gluten
85,Épice,Épices orientales #977,Sésame
86,Céréale,Épeautre #165,Aucun
87,Produit laitier,Fromage affiné #383,"Gluten, Oeufs, Lactose"
88,Légumineuse,Lentilles du Puy #756,Aucun
89,Légumineuse,Lentilles du Puy #825,"Sulfites, Gluten"
90,Épice,Safran #266,"Céleri, Gluten, Sulfites"
91,Épice,Safran #448,"Sésame, Céleri, Gluten"
92,Légume,Chou frisé #597,Céleri
93,Herbe,Thym sauvage #995,"Gluten, Sulfites"
94,Céréale,Épeautre #760,Gluten
95,Légumineuse,Lentilles du Puy #554,"Gluten, Sulfites"
96,Légume,Chou frisé #948,"Lupin, Céleri, Sulfites"
97,Épice,Épices orientales #955,Aucun
98,Épice,Épices orientales #760,Aucun
99,Légume,Navet confit #176,"Moutarde, Lupin"
100,Légumineuse,Lentilles du Puy #855,Arachides
101,Herbe,Thym sauvage #669,"Gluten, Sulfites, Céleri"
102,Champignon,Truffe noire #566,Gluten
103,Herbe,Thym sauvage #148,"Gluten, Sulfites, Céleri"
104,Épice,Poivre long #98,Aucun
105,Épice,Poivre long #376,"Gluten, Céleri, Sulfites"
106,Légume,Navet confit #772,"Céleri, Sulfites, Lupin"
107,Épice,Safran #307,"Céleri, Gluten, Sulfites"
108,Épice,Poivre long #445,Aucun
109,Fruit,Pomme sauvage #553,Arachides
