IdR,IdP
277,1404
3466,904
2579,748
3816,1912
3529,2413
1262,2119
2722,338
3870,2341
2249,2290
2286,2279
494,1016
299,2966
4671,3813
473,4336
3358,3025
2131,214
4571,4593
988,798
2181,3236
3280,1107
161,2705
3748,34
4336,1169
4863,2072
2275,4198
438,2343
2925,1390
4572,4715
3777,3218
129,4088
1651,1731
3439,2289
905,2341
1218,438
2670,1776
2997,3367
2535,2610
2111,3792
146,3202
4487,1109
2426,2378
4657,4175
4837,1746
3950,773
3127,1048
700,2544
3074,4399
2359,1554
1287,909
1391,522
1273,1173
802,4965
1411,4353
3608,1443
2364,2225
4470,4917
1865,588
2320,3295
2382,3113
3641,1278
22,3199
2069,256
1245,1941
2945,182
4702,621
4420,528
3012,595
3631,404
1679,4581
3521,1400
2396,327
74,2218
4272,697
3372,1360
1077,717
525,201
2791,3435
1717,3781
4986,3627
193,1764
3032,4297
4784,3735
1790,4622
553,1609
3262,4111
1081,1014
1710,4860
1438,746
907,1644
2110,2840
2054,2650
4278,3200
656,2246
3831,3192
2909,2792
3073,4614
719,1080
1025,1434
4782,2502
4755,4094
3507,1464
2443,654
3024,2420
1124,3425
564,782
1553,1932
3111,3795
1860,1525
2411,3467
4619,2613
1038,1158
159,3990
4256,3433
77,2846
3868,370
849,2013
3339,2227
72,4082
2753,3246
2183,150
4487,3961
2325,2753
3113,4871
618,4922
4354,3900
2880,866
1503,820
2488,766
1922,3104
2862,4609
1617,2596
3032,3633
2611,882
3270,113
4269,2107
1034,1311
4914,2012
894,4214
3782,1297
4925,3053
1928,3185
4756,2512
509,51
4638,2697
790,3653
2184,1244
878,3795
3161,4765
1179,3909
4036,3710
1414,1147
4727,4374
1185,3478
3012,2883
2603,4520
467,4914
2894,3785
286,329
1846,1266
2042,131
42,3131
4728,2009
3080,2550
2820,2878
2898,2634
373,406
208,2821
4491,387
2510,128
4243,52
1635,2098
2311,2605
2190,1522
4955,1374
3128,1520
1298,1567
231,3330
1399,1912
1260,1317
674,986
1011,1593
10,554
3100,1615
3078,4800
3431,2420
957,4626
1228,3845
4929,2813
2195,3955
2261,2140
1380,778
4929,194
3883,3139
1399,1947
3506,388
3409,138
3662,2421
1213,2733
2699,152
3229,3165
3269,446
4248,1557
1622,3690
2254,4847
103,4549
1567,4656
1303,136
4100,361
2669,3490
826,2046
2161,3305
3203,4819
3229,1446
2292,4507
4120,4936
358,177
2447,3891
1219,956
1249,2998
763,4172
2833,4698
4235,672
4314,568
853,161
1002,3996
2066,2539
780,2827
3733,2421
1805,1858
1384,4006
3885,3361
405,504
1855,4335
64,3942
2140,3152
4454,1769
3209,877
2977,1133
2120,1547
3188,3492
2717,1087
4176,1846
533,2545
1840,1328
1329,2611
4335,1729
4372,638
2091,3720
1416,2905
3758,4567
4008,2064
1574,177
2303,2596
3085,1411
2448,1499
3387,4930
2320,4515
626,779
2738,2472
3591,113
4626,2401
4007,4579
4636,2105
3520,2499
4652,1928
411,269
3638,4160
942,3016
1008,1846
994,4860
3289,4626
1890,2571
1424,2584
1048,4692
787,4997
3686,1329
3161,3507
4805,2240
1151,1557
4882,4813
170,1085
4574,354
1185,4497
1789,786
3151,3795
2193,1232
191,4523
324,2197
3623,3370
1791,2998
4919,4730
3278,1236
4532,1681
232,886
3515,4823
1619,1358
4579,2610
4006,3899
3352,4627
721,3329
1454,2174
3161,3572
3617,299
4956,2665
2406,4092
3892,2073
3224,3756
753,1522
2701,151
3347,4988
1071,3844
4261,2365
2140,2107
2258,4701
4122,548
2570,2644
