IdP,IdC
9,3377
1787,1109
542,2722
4204,220
218,2704
2558,3044
4590,4650
1961,894
143,3615
3709,223
2040,2643
259,1429
689,3188
688,4200
2810,2386
1819,3885
3260,2708
3099,3136
543,1134
4589,4865
3928,3190
3522,1258
3447,1595
3396,3008
840,2089
4829,3280
4301,4005
713,228
472,1874
4528,779
661,551
57,4232
272,2049
3180,2769
2052,3379
2076,2991
1276,3428
743,1168
3921,4863
3379,217
4938,208
1574,2040
911,2291
4555,2862
769,4583
1483,1672
452,87
834,3261
2421,4677
4779,983
121,20
168,4484
1379,499
928,1555
776,2244
2959,2083
316,3433
3222,4840
3618,118
402,3735
1169,209
1510,2758
2872,2536
186,3377
3309,2105
118,2861
1224,3341
1659,2307
4759,4086
642,3875
852,4489
4988,3602
2745,4993
2019,4405
1093,3327
4797,2891
1875,4488
3847,2970
944,1236
548,889
4072,3902
540,3064
799,984
995,2786
3848,2994
2980,3536
235,4463
4843,329
2165,1069
29,46
979,2792
14,3441
1026,2795
4139,2175
660,4226
3021,765
3962,2055
1062,1751
2359,2424
3046,4081
845,2398
2277,4293
346,3070
4710,3810
4835,4692
2262,3645
897,1676
780,132
3523,885
4955,7
2829,326
2577,4967
74,4948
3302,4042
1752,1885
727,1503
1998,3842
1670,814
2640,3885
915,4253
4274,3228
4803,2495
1359,1845
2585,1927
4524,4565
4348,3754
2458,4169
681,1305
4631,3246
290,1949
3325,1592
2196,1368
1467,271
3428,2289
3154,3426
4731,3437
2525,3522
2137,2233
971,2263
3282,3779
1714,1171
307,2241
4908,4634
4150,4749
382,792
3368,3788
1816,1640
612,3875
1240,3996
1325,4293
4641,3284
2357,2970
2247,2313
264,2369
1805,2548
3471,4058
4574,3800
1219,4792
3267,2999
625,4722
3026,4091
4225,4603
3174,3694
1535,3052
3110,4708
223,880
2573,576
268,2507
3160,1004
3333,3615
270,3211
3299,3181
1025,4715
2530,834
2906,2190
2190,1810
535,4843
1531,530
2790,4500
1029,1242
2516,1971
3327,4144
2194,1867
4327,2237
427,2172
3462,4792
4339,3322
1635,25
4501,2607
2116,7
2801,4436
4504,3433
2017,1872
4136,3137
2995,2020
1252,2365
2017,4224
4256,589
726,1783
2855,1928
2841,238
1079,3964
3910,3121
4338,1220
3338,3564
4549,1356
3724,3633
4022,2170
411,4022
1398,2225
2817,3037
1827,2471
634,3736
4323,4257
127,2382
1866,6
2772,3756
1341,2659
2153,3469
4899,3597
932,1237
4751,1544
2624,653
3430,3753
4293,861
1409,2063
1933,196
334,3762
2719,2152
1116,3511
3603,377
4874,4962
3443,3330
1458,1932
505,2430
4874,2164
3767,3001
3855,3250
3888,3224
3978,4758
2351,3365
1208,163
1676,615
4705,3277
3301,3552
1641,3610
4093,264
1433,2178
4188,1761
3477,826
570,4794
433,2535
2521,2257
843,2651
3465,3158
569,1189
4448,2524
3596,2440
1015,386
2567,2598
841,4391
1699,1892
3042,481
3915,245
1108,3365
941,4814
900,3070
3581,85
1168,64
3181,4108
2005,466
817,3719
3471,2667
1111,3035
851,1880
96,2544
4441,3719
3609,3976
3797,3693
3925,1691
759,2081
4543,1843
3457,955
4398,3825
4177,3746
1339,2578
630,3911
3231,628
488,1596
2975,1323
2739,1002
733,1694
72,3371
4937,135
201,2235
4933,3418
3474,1226
2776,910
839,3456
2967,2747
4644,99
856,4445
409,1621
2509,3186
289,1253
1079,2448
56,4727
4346,3545
4774,4929
3254,2231
1250,2129
1161,2029
3652,1390
1105,4561
1054,394
35,2021
270,1722
2427,2137
3615,4990
469,3019
2745,2101
2664,1335
2563,4510
851,2642
3779,3659
3302,2334
1661,997
351,411
118,3172
3927,4020
1487,196
4677,1393
2822,589
4405,4855
3096,823
3923,2427
4260,1065
2261,2752
1430,2017
1645,2458
3965,378
3595,1217
3816,430
2813,4473
2411,4085
970,1276
267,4533
4804,753
4503,1704
4303,4089
1127,2287
4819,2099
1662,1341
598,3496
1414,4298
1641,4859
2263,693
3392,1725
2898,170
4596,159
1045,1401
116,4784
1468,2535
3822,2223
855,453
3443,4881
1025,1250
540,1718
2856,635
3690,4746
4805,4865
3703,2456
4334,845
4313,2502
2090,979
4371,4215
4832,481
2084,200
1943,3381
2931,1068
2669,252
447,3981
3357,2029
4524,3763
901,1844
172,3322
596,1188
1612,952
3995,3296
4314,623
2770,2394
2152,431
4711,754
2256,247
3802,3057
3050,4224
228,4225
1077,457
4418,4681
1772,3844
3336,3349
2939,1016
4388,313
859,3996
3329,3495
80,1934
2900,602
1773,320
1885,4573
3417,600
2378,590
74,1412
1217,2623
674,1183
859,1922
2010,622
1188,2761
3336,552
3739,4123
2434,2291
3802,2551
2166,4601
1595,3486
4711,2436
3532,4841
1788,4486
668,3534
4435,337
597,195
634,690
662,1746
1394,4327
3462,1898
2152,2699
2611,1334
2053,2010
2605,4860
4067,3983
4206,936
4896,4212
1915,416
586,2117
1578,1245
2273,2850
2286,3719
3635,3683
340,1863
727,4439
102,2138
4282,4634
3247,4126
3376,3978
269,167
3465,2784
2199,1814
4666,2332
2253,1092
2786,4078
2448,3327
3065,3370
4023,1907
812,249
4505,4357
4525,2787
1400,3639
293,4146
1978,3960
2141,1211
1285,2446
3365,1295
1833,4777
2749,2797
2745,1402
3753,4788
893,1651
4438,2758
3362,2164
4804,3116
738,2783
4306,4436
4608,2934
3417,862
155,2593
482,2076
4891,3191
4341,3112
3008,1516
2066,1924
1068,3680
547,120
463,2710
121,3448
4507,2530
444,4276
4696,2711
4665,1988
3433,2494
4176,4638
1961,255
3978,706
1415,3200
