CodeMembre,IdR
28371,3447
5978,3057
99479,2150
195,3563
61719,3486
36556,1381
37857,2094
92661,4834
4423,41
17046,3959
57326,4242
97269,2970
50179,697
3783,3540
26752,3109
68344,2690
36397,3558
87355,2410
86185,3497
90395,1533
28144,352
8594,679
46945,4919
75576,4987
37127,35
15549,877
12304,4394
76737,1606
49965,2996
52830,1280
15942,4471
80533,2992
69517,645
16946,361
29879,451
10777,3645
57915,3483
58115,1539
99987,2876
76049,1714
49124,2748
75689,327
16527,2119
2390,3081
32997,291
93941,305
3708,2780
35970,1464
18923,2976
4124,3104
18047,3925
56853,854
43368,5
83840,1714
7888,3918
29584,1938
20259,4330
45502,370
4097,2389
15751,3779
67498,3141
79730,4303
93854,3895
12097,2947
26627,3821
33722,4947
93890,950
52023,352
3726,4417
18327,939
62567,1606
50645,3311
49782,1951
14752,3824
53678,2644
74256,9
14870,1914
49069,1100
4782,4455
21763,38
53859,248
25523,3750
96871,3228
93548,2283
76016,3654
13691,174
24489,2760
29330,4444
29587,1759
54943,2230
35695,4233
70002,2704
8940,1586
50164,2736
16437,174
15962,1438
69290,3673
56017,1918
7534,902
27222,3108
45169,4138
2586,3178
17386,1118
36699,921
61317,892
5223,2073
10850,1249
39059,1652
69310,3206
23914,1000
17447,1560
88078,3227
21705,98
95952,2553
5892,1528
87468,3900
62557,730
81951,1547
1667,1738
28385,4508
36574,3920
85343,1094
65939,4509
17872,916
76457,3787
31904,2218
75022,1569
53086,3052
21859,4552
34832,3508
38021,4958
4823,4731
47442,3609
5333,3086
8331,1939
49756,549
78676,337
32402,4185
61095,2351
38248,2806
80885,2092
4611,4456
24078,2567
68256,394
66200,723
65611,2360
33137,4057
5655,2993
23572,1078
50586,2664
512,3449
49067,2075
73523,4511
80752,149
78963,500
85507,3328
16199,1230
60788,239
58846,744
62287,18
95727,3559
76979,4142
8054,2403
53119,995
87685,576
38421,3203
73922,3943
25762,3446
39803,3961
97108,2026
92834,3033
56052,1774
33078,2556
43183,1543
70875,1226
97857,1575
75423,666
81481,3842
70055,451
1819,4396
14303,1686
49217,4266
39196,795
46059,4659
24701,868
72037,3250
80848,2049
30787,3964
32235,3541
97400,4781
36499,4043
1154,2844
6525,2726
64370,3080
30460,3746
77237,131
2416,560
84603,3910
91547,4916
81281,956
51863,1920
36328,61
94637,3551
77405,4862
70173,3643
27901,1148
75766,2828
90844,2249
21139,68
1766,4794
26760,1004
25021,4849
99827,4069
15425,4949
21653,3386
85905,4638
70499,401
45014,3118
74890,1368
81415,3321
80866,328
23962,4102
55025,3420
66203,3587
27462,3460
21410,4836
53832,1507
90810,796
71855,595
74930,2012
37725,3310
50992,1553
97997,816
74533,3559
60620,1968
7058,1559
68403,1549
8085,1917
32351,1289
63548,3104
29308,885
71419,981
51830,268
7243,2210
71027,980
69149,4943
9970,4716
17004,2999
18116,4350
16673,87
67811,1105
89729,1355
80266,2219
19830,3459
46143,2733
96366,3887
5709,3473
22971,3304
94937,2765
98628,627
22545,1428
14110,1929
66700,1790
67154,3328
20957,1501
64548,779
94229,3323
81869,1150
3095,2984
