IdO,nom_orga,type_orga,IdT
1,Global Partners,Club,2358
2,Royal Solutions,Association,502
3,Global Partners,Club,634
4,Prestige Consulting,Club,3068
5,Prestige Industries,Association,2917
6,Global Partners,Club,4184
7,Elite Consulting,Association,4125
8,Horizon Services,Loge,759
9,Royal Industries,Loge,426
10,Prestige Group,Association,2301
11,Global Services,Cercle,611
12,Royal Industries,Club,3321
13,Horizon Services,Fraternité,1885
14,Royal Solutions,Association,3337
15,Prestige Solutions,Association,1428
16,Prestige Services,Loge,1988
17,Royal Group,Confrérie,1115
18,Elite Solutions,Association,3497
19,Prestige Partners,Club,2559
20,Horizon Consulting,Cercle,2145
21,Elite Services,Fraternité,2340
22,Horizon Group,Club,4734
23,Prestige Industries,Guilde,2918
24,Prestige Industries,Club,3215
25,Elite Consulting,Club,3932
26,Prestige Services,Loge,3528
27,Elite Industries,Cercle,3698
28,Royal Group,Ordre,2435
29,Horizon Consulting,Club,4597
30,Elite Consulting,Club,528
31,Horizon Services,Guilde,1847
32,Horizon Industries,Club,1907
33,Elite Partners,Club,1437
34,Alliance Group,Loge,393
35,Royal Partners,Association,787
36,Royal Services,Club,197
37,Horizon Services,Association,4744
38,Prestige Group,Club,4492
39,Global Solutions,Club,1588
40,Global Consulting,Association,330
41,Elite Services,Loge,4169
42,Global Partners,Loge,3244
43,Global Partners,Club,3256
44,Prestige Group,Association,4466
45,Prestige Group,Association,1024
46,Elite Partners,Club,4439
47,Prestige Solutions,Cercle,123
48,Alliance Group,Loge,1834
49,Alliance Industries,Cercle,1041
50,Royal Group,Club,2441
51,Global Services,Association,1931
52,Elite Partners,Loge,3128
53,Royal Industries,Loge,4887
54,Alliance Consulting,Association,2481
55,Alliance Solutions,Association,3805
56,Elite Services,Association,821
57,Global Group,Club,2572
58,Royal Industries,Association,2322
59,Alliance Solutions,Confrérie,4662
60,Royal Partners,Club,4311
61,Horizon Industries,Association,2400
62,Royal Solutions,Club,1597
63,Elite Group,Club,1844
64,Horizon Group,Association,278
65,Prestige Services,Cercle,699
66,Global Industries,Fraternité,1812
67,Horizon Group,Club,492
68,Elite Services,Guilde,4847
69,Alliance Industries,Cercle,1700
70,Global Services,Club,2772
71,Elite Services,Club,4846
72,Royal Partners,Loge,524
73,Horizon Solutions,Guilde,1964
74,Horizon Group,Association,2805
75,Horizon Consulting,Guilde,3815
76,Elite Industries,Association,4368
77,Global Partners,Cercle,4562
78,Elite Services,Club,940
79,Global Partners,Club,565
80,Global Solutions,Loge,2559
81,Elite Industries,Confrérie,2690
82,Elite Industries,Association,1270
83,Alliance Services,Association,1792
84,Prestige Industries,Club,4014
85,Royal Services,Loge,2206
86,Global Consulting,Association,151
87,Elite Partners,Club,4262
88,Prestige Services,Association,2645
89,Horizon Partners,Club,3658
90,Global Partners,Club,4422
91,Alliance Consulting,Guilde,220
92,Elite Solutions,Guilde,177
93,Global Solutions,Cercle,4068
94,Alliance Services,Association,807
95,Prestige Industries,Guilde,3612
96,Global Industries,Confrérie,305
97,Alliance Services,Ordre,2120
98,Royal Consulting,Association,748
99,Alliance Consulting,Loge,3221
100,Royal Partners,Guilde,3747
101,Royal Group,Association,3049
102,Royal Partners,Cercle,3541
103,Royal Industries,Ordre,4659
104,Horizon Solutions,Association,1850
105,Global Group,Association,1973
106,Prestige Consulting,Association,4898
107,Alliance Services,Club,4260
108,Prestige Group,Cercle,4399
109,Alliance Group,Ordre,588
110,Elite Solutions,Association,2789
111,Horizon Consulting,Loge,2869
112,Global Solutions,Association,725
113,Royal Consulting,Club,3493
114,Horizon Solutions,Association,3071
115,Royal Services,Association,4063
116,Royal Solutions,Association,1076
117,Elite Industries,Association,4599
118,Elite Partners,Club,1802
119,Horizon Consulting,Guilde,1138
120,Alliance Consulting,Guilde,2849
121,Royal Group,Guilde,4086
122,Horizon Services,Association,4817
123,Global Consulting,Association,454
124,Prestige Industries,Club,3756
125,Horizon Solutions,Association,4262
126,Prestige Group,Club,4655
127,Elite Services,Association,4614
128,Alliance Partners,Confrérie,2980
129,Global Consulting,Loge,1544
130,Prestige Solutions,Association,2393
131,Elite Industries,Guilde,622
132,Royal Partners,Association,1982
133,Royal Industries,Club,2460
134,Elite Partners,Guilde,1345
135,Prestige Services,Association,1698
136,Alliance Partners,Cercle,88
137,Horizon Consulting,Club,4612
138,Royal Services,Association,2829
139,Alliance Group,Cercle,4879
140,Horizon Consulting,Cercle,65
141,Horizon Industries,Association,799
142,Global Group,Guilde,3677
143,Prestige Industries,Club,973
144,Royal Consulting,Loge,2615
145,Elite Solutions,Association,3139
146,Alliance Industries,Association,2952
147,Horizon Industries,Association,3212
148,Elite Group,Loge,3327
149,Elite Group,Loge,779
150,Horizon Industries,Loge,3315
151,Horizon Group,Guilde,533
152,Horizon Group,Cercle,1662
153,Alliance Industries,Association,2938
154,Global Consulting,Club,4776
155,Royal Industries,Guilde,3676
156,Horizon Group,Ordre,1686
157,Horizon Industries,Loge,424
158,Horizon Solutions,Club,4815
159,Global Industries,Club,2433
160,Alliance Industries,Association,295
161,Royal Group,Confrérie,2166
162,Elite Solutions,Loge,3560
163,Global Partners,Club,2677
164,Global Services,Club,2933
165,Royal Partners,Confrérie,2164
166,Elite Industries,Loge,1465
167,Prestige Services,Guilde,139
168,Prestige Consulting,Association,3793
169,Prestige Consulting,Association,244
170,Horizon Services,Loge,2907
171,Alliance Industries,Loge,2202
172,Horizon Solutions,Club,3076
173,Alliance Group,Club,3819
174,Global Services,Guilde,1112
175,Global Consulting,Loge,3234
176,Royal Partners,Guilde,2703
177,Prestige Services,Club,2309
178,Prestige Solutions,Association,2842
179,Global Consulting,Association,2096
180,Global Services,Guilde,2723
181,Prestige Partners,Cercle,3094
182,Global Consulting,Cercle,2780
183,Prestige Solutions,Club,1380
184,Elite Solutions,Club,1835
185,Horizon Services,Fraternité,4753
186,Prestige Partners,Association,4501
187,Elite Consulting,Association,231
188,Prestige Solutions,Club,4652
189,Global Group,Association,2067
190,Alliance Partners,Association,21
191,Global Solutions,Association,1719
192,Horizon Consulting,Association,2033
193,Elite Industries,Association,3527
194,Horizon Services,Club,366
195,Royal Services,Loge,1403
196,Global Solutions,Guilde,4465
197,Alliance Solutions,Guilde,771
198,Global Industries,Club,452
199,Global Industries,Association,2082
200,Prestige Solutions,Loge,1277
201,Alliance Group,Association,1528
202,Elite Consulting,Club,317
203,Elite Partners,Club,2656
204,Prestige Consulting,Club,4777
205,Elite Services,Fraternité,4686
206,Horizon Group,Club,718
207,Elite Consulting,Association,4295
208,Alliance Services,Guilde,2131
209,Alliance Solutions,Confrérie,2948
210,Prestige Group,Guilde,1140
211,Elite Group,Club,2669
212,Royal Group,Association,455
213,Prestige Group,Association,3224
214,Prestige Services,Association,4205
215,Alliance Consulting,Loge,697
216,Prestige Partners,Loge,3636
217,Horizon Group,Association,3221
218,Elite Industries,Cercle,3061
219,Alliance Consulting,Club,4445
220,Alliance Group,Guilde,4182
221,Prestige Services,Club,1044
222,Global Services,Club,3582
223,Elite Group,Association,3972
224,Elite Consulting,Club,3103
225,Global Consulting,Loge,1419
226,Horizon Partners,Guilde,4061
227,Royal Group,Club,370
228,Royal Solutions,Association,3529
229,Horizon Services,Association,2804
230,Prestige Partners,Club,2091
231,Global Consulting,Association,2751
232,Global Consulting,Club,652
233,Prestige Solutions,Guilde,4489
234,Elite Consulting,Guilde,3290
235,Horizon Industries,Guilde,1559
236,Global Services,Cercle,3718
237,Horizon Services,Loge,4926
238,Horizon Group,Association,4290
239,Royal Partners,Guilde,2701
240,Global Industries,Loge,3848
241,Royal Industries,Association,3972
242,Horizon Consulting,Loge,515
243,Horizon Group,Guilde,1316
244,Prestige Services,Confrérie,3102
245,Alliance Solutions,Club,4547
246,Royal Partners,Guilde,3101
247,Global Solutions,Association,3289
248,Prestige Consulting,Club,419
249,Royal Partners,Guilde,3482
250,Prestige Services,Cercle,1613
251,Royal Consulting,Club,3946
252,Royal Partners,Association,2888
253,Royal Industries,Association,2932
254,Global Industries,Loge,3916
255,Prestige Consulting,Club,1569
256,Horizon Consulting,Club,3599
257,Elite Group,Guilde,238
258,Global Services,Association,3831
259,Elite Group,Association,1160
260,Elite Services,Association,13
261,Elite Services,Cercle,1490
262,Alliance Partners,Confrérie,4237
263,Alliance Services,Loge,3858
264,Prestige Solutions,Association,1218
265,Alliance Partners,Club,486
266,Horizon Industries,Cercle,1874
267,Elite Partners,Club,1549
268,Royal Solutions,Club,3086
269,Global Services,Guilde,3653
270,Royal Services,Loge,2486
271,Royal Industries,Association,4037
272,Prestige Solutions,Club,1411
273,Royal Partners,Club,3751
274,Prestige Partners,Cercle,2936
275,Elite Industries,Guilde,3670
276,Royal Consulting,Guilde,311
277,Global Group,Club,4672
278,Prestige Group,Guilde,3030
279,Horizon Services,Guilde,2404
280,Alliance Group,Guilde,773
281,Royal Services,Confrérie,494
282,Alliance Consulting,Association,1359
283,Royal Solutions,Association,1783
284,Alliance Industries,Guilde,87
285,Royal Consulting,Association,2140
286,Alliance Services,Club,3918
287,Alliance Industries,Guilde,817
288,Elite Group,Association,3546
289,Prestige Consulting,Association,820
290,Elite Solutions,Association,373
291,Horizon Consulting,Club,866
292,Global Services,Loge,4485
293,Horizon Group,Club,476
294,Alliance Group,Fraternité,80
295,Elite Solutions,Guilde,3175
296,Prestige Industries,Club,1498
297,Elite Industries,Cercle,51
298,Horizon Group,Club,2932
299,Horizon Solutions,Confrérie,4762
300,Prestige Group,Confrérie,2000
301,Global Solutions,Guilde,329
302,Horizon Group,Association,4190
303,Global Solutions,Club,399
304,Alliance Solutions,Club,2275
305,Alliance Group,Club,2144
306,Global Services,Club,2768
307,Horizon Services,Club,2589
308,Royal Consulting,Cercle,3523
309,Alliance Partners,Association,4567
310,Horizon Group,Club,3265
311,Global Group,Association,1788
312,Elite Industries,Loge,135
313,Prestige Industries,Club,2885
314,Alliance Consulting,Club,3128
315,Prestige Partners,Association,4164
316,Horizon Consulting,Club,361
317,Royal Services,Loge,2131
318,Royal Solutions,Club,4182
319,Prestige Solutions,Cercle,293
320,Global Solutions,Club,1102
321,Horizon Group,Association,1055
322,Global Partners,Association,4255
323,Global Industries,Confrérie,3290
324,Alliance Industries,Loge,480
325,Prestige Solutions,Association,3275
326,Royal Services,Association,4242
327,Elite Services,Club,864
328,Prestige Partners,Guilde,4574
329,Elite Industries,Fraternité,3277
330,Prestige Solutions,Confrérie,4582
331,Elite Industries,Club,4968
332,Prestige Services,Association,6
333,Global Consulting,Association,3468
334,Horizon Consulting,Association,2091
335,Horizon Services,Guilde,2717
336,Global Industries,Association,2488
337,Prestige Services,Loge,2134
338,Global Solutions,Association,2409
339,Royal Consulting,Loge,1011
340,Prestige Consulting,Confrérie,3393
341,Elite Industries,Cercle,3765
342,Horizon Group,Association,2636
343,Alliance Solutions,Association,4283
344,Elite Partners,Association,2361
345,Royal Solutions,Ordre,234
346,Royal Consulting,Guilde,4294
347,Royal Partners,Cercle,4211
348,Horizon Group,Confrérie,616
349,Prestige Industries,Club,196
350,Global Solutions,Club,2950
351,Elite Group,Club,3980
352,Alliance Consulting,Loge,1852
353,Horizon Solutions,Club,4896
354,Royal Consulting,Cercle,1179
355,Royal Industries,Club,2966
356,Royal Group,Loge,1560
357,Global Services,Club,2477
358,Prestige Industries,Club,291
359,Alliance Industries,Cercle,3465
360,Prestige Solutions,Club,3817
361,Elite Solutions,Guilde,4941
362,Elite Solutions,Club,4017
363,Global Consulting,Club,972
364,Prestige Consulting,Loge,4610
365,Royal Industries,Association,4516
366,Alliance Consulting,Guilde,4706
367,Global Consulting,Club,3851
368,Prestige Industries,Club,3903
369,Royal Services,Club,104
370,Global Partners,Guilde,1990
371,Prestige Services,Fraternité,1283
372,Prestige Services,Club,1560
373,Horizon Solutions,Cercle,111
374,Elite Group,Club,4261
375,Global Solutions,Club,2651
376,Royal Services,Guilde,1986
377,Prestige Services,Guilde,4142
378,Global Solutions,Association,1952
379,Prestige Partners,Loge,4090
380,Elite Services,Cercle,3125
381,Horizon Group,Loge,2411
382,Prestige Solutions,Confrérie,897
383,Horizon Solutions,Loge,2409
384,Elite Solutions,Club,1002
385,Alliance Services,Association,2975
386,Royal Services,Loge,3823
387,Elite Industries,Association,2821
388,Royal Partners,Club,3329
389,Prestige Services,Fraternité,1005
390,Elite Group,Association,514
391,Elite Consulting,Guilde,3403
392,Elite Partners,Association,336
393,Royal Consulting,Confrérie,2272
394,Royal Partners,Association,3544
395,Prestige Industries,Guilde,688
396,Prestige Industries,Guilde,1066
397,Alliance Solutions,Club,4505
398,Global Industries,Club,1635
399,Horizon Services,Club,2026
400,Royal Partners,Ordre,4068
401,Elite Consulting,Club,2826
402,Global Industries,Club,2106
403,Prestige Industries,Loge,3116
404,Alliance Group,Guilde,3775
405,Prestige Group,Association,3618
406,Royal Solutions,Association,1122
407,Horizon Solutions,Cercle,58
408,Elite Industries,Loge,4779
409,Prestige Industries,Ordre,1316
410,Royal Industries,Association,4978
411,Alliance Services,Association,427
412,Alliance Consulting,Association,1251
413,Elite Solutions,Loge,2198
414,Royal Services,Cercle,751
415,Global Group,Cercle,4299
416,Global Partners,Loge,712
417,Royal Consulting,Club,1476
418,Royal Solutions,Cercle,649
419,Global Group,Guilde,1869
420,Royal Industries,Association,3638
421,Prestige Solutions,Association,3713
422,Royal Solutions,Association,3852
423,Alliance Partners,Club,2258
424,Prestige Solutions,Ordre,2507
425,Alliance Consulting,Club,832
426,Elite Consulting,Club,3502
427,Elite Group,Association,1169
428,Elite Industries,Loge,1392
429,Horizon Group,Loge,4449
430,Royal Group,Guilde,2564
431,Prestige Partners,Association,2683
432,Global Consulting,Association,4206
433,Prestige Solutions,Association,361
434,Global Industries,Club,4225
435,Elite Industries,Guilde,1797
436,Horizon Services,Association,2489
437,Alliance Services,Guilde,2884
438,Alliance Consulting,Club,1633
439,Global Consulting,Club,616
440,Alliance Consulting,Guilde,176
441,Horizon Partners,Ordre,1281
442,Alliance Partners,Club,2395
443,Prestige Consulting,Fraternité,3123
444,Global Industries,Association,4206
445,Horizon Consulting,Club,4155
446,Global Services,Guilde,4218
447,Elite Group,Association,2189
448,Prestige Partners,Loge,717
449,Alliance Services,Loge,2638
450,Alliance Industries,Club,2481
451,Horizon Industries,Ordre,2422
452,Prestige Services,Association,3336
453,Horizon Group,Guilde,4536
454,Elite Group,Club,4928
455,Elite Group,Club,3960
456,Global Services,Ordre,849
457,Elite Industries,Fraternité,3927
458,Horizon Partners,Confrérie,420
459,Global Group,Association,4660
460,Elite Group,Guilde,4068
461,Royal Solutions,Confrérie,2835
462,Elite Services,Association,3374
463,Horizon Industries,Association,3652
464,Prestige Group,Association,2724
465,Horizon Industries,Association,3549
466,Horizon Consulting,Club,3977
467,Prestige Services,Association,3025
468,Elite Group,Guilde,3311
469,Royal Solutions,Association,1485
470,Elite Industries,Guilde,2330
471,Horizon Group,Club,632
472,Alliance Group,Cercle,4899
473,Global Partners,Club,1305
474,Royal Solutions,Loge,2166
475,Elite Solutions,Club,3179
476,Elite Services,Cercle,3764
477,Royal Services,Club,4901
478,Global Industries,Loge,1116
479,Elite Group,Club,1880
480,Royal Partners,Association,593
481,Global Group,Club,878
482,Global Services,Club,2901
483,Alliance Industries,Fraternité,2403
484,Global Industries,Association,4971
485,Royal Partners,Confrérie,942
486,Horizon Services,Club,4989
487,Royal Solutions,Club,4721
488,Alliance Consulting,Guilde,615
489,Prestige Services,Confrérie,3059
490,Elite Partners,Cercle,2766
491,Alliance Services,Club,4147
492,Royal Services,Cercle,1088
493,Royal Solutions,Club,2731
494,Prestige Group,Club,3800
495,Global Consulting,Loge,55
496,Elite Partners,Club,3533
497,Alliance Group,Club,1066
498,Royal Industries,Guilde,1172
499,Horizon Solutions,Guilde,477
500,Elite Services,Association,4538
501,Elite Industries,Club,3194
502,Elite Industries,Guilde,2639
503,Global Partners,Club,2665
504,Royal Partners,Guilde,2844
505,Horizon Consulting,Association,498
506,Global Solutions,Club,1992
507,Prestige Services,Association,2186
508,Global Solutions,Association,3394
509,Prestige Consulting,Loge,3238
510,Horizon Group,Association,3822
511,Royal Partners,Club,740
512,Global Services,Association,3848
513,Alliance Partners,Association,1400
514,Elite Industries,Club,883
515,Global Services,Club,1506
516,Horizon Partners,Loge,771
517,Elite Partners,Ordre,46
518,Global Services,Guilde,4085
519,Prestige Industries,Club,4920
520,Prestige Partners,Guilde,5000
521,Horizon Group,Club,2443
522,Royal Industries,Loge,4394
523,Prestige Group,Club,1155
524,Alliance Partners,Ordre,2657
525,Royal Solutions,Ordre,3210
526,Alliance Partners,Association,2692
527,Alliance Industries,Association,3897
528,Prestige Services,Club,640
529,Alliance Solutions,Loge,566
530,Alliance Partners,Loge,514
531,Royal Partners,Association,850
532,Elite Services,Guilde,4352
533,Royal Group,Club,1807
534,Royal Consulting,Guilde,1250
535,Prestige Solutions,Loge,1118
536,Global Partners,Club,4532
537,Royal Solutions,Association,3638
538,Elite Solutions,Guilde,60
539,Prestige Consulting,Association,1647
540,Alliance Consulting,Club,3540
541,Alliance Solutions,Cercle,614
542,Global Solutions,Loge,2579
543,Elite Services,Association,875
544,Global Industries,Association,1068
545,Elite Group,Association,1533
546,Horizon Industries,Association,3021
547,Alliance Services,Cercle,4406
548,Global Consulting,Loge,2566
549,Alliance Consulting,Club,2096
550,Elite Industries,Association,3637
551,Alliance Partners,Ordre,1817
552,Alliance Industries,Club,2445
553,Global Partners,Club,3131
554,Horizon Industries,Association,803
555,Global Consulting,Loge,858
556,Elite Partners,Loge,73
557,Prestige Industries,Cercle,3651
558,Alliance Solutions,Loge,120
