IdP,IdL
1,1266
2,4283
3,4583
4,
5,1346
6,36
7,122
8,2768
9,2507
10,1227
11,1508
12,4447
13,3077
14,4516
15,2999
16,2479
17,753
18,2113
19,4205
20,4346
21,
22,4638
23,4509
24,2715
25,3768
26,833
27,
28,649
29,2275
30,2198
31,1962
32,2124
33,1650
34,3859
35,3569
36,582
37,2904
38,870
39,2116
40,
41,1929
42,203
43,1828
44,432
45,
46,77
47,3123
48,2212
49,3182
50,3427
51,487
52,3767
53,2527
54,1762
55,1172
56,3781
57,570
58,4579
59,
60,1222
61,2116
62,1787
63,2874
64,180
65,
66,2675
67,53
68,
69,2672
70,3186
71,2515
72,10
73,420
74,2788
75,4542
76,
77,1610
78,1531
79,1409
80,1407
81,2781
82,3849
83,3627
84,268
85,249
86,2705
87,4533
88,2721
89,
90,1381
91,
92,265
93,357
94,3036
95,2188
96,1529
97,3267
98,4498
99,4682
100,
101,784
102,3233
103,990
104,2518
105,2747
106,754
107,4218
108,610
109,2010
110,
111,4122
112,1612
113,4499
114,
115,2235
116,3468
117,189
118,1043
119,
120,3731
121,
122,
123,
124,3154
125,1526
126,
127,4946
128,4535
129,2792
130,1798
131,435
132,1966
133,2661
134,766
135,897
136,390
137,3050
138,620
139,
140,3628
141,4065
142,3203
143,3639
144,4064
145,2772
146,2046
147,2903
148,3967
149,3234
150,3907
151,1492
152,2561
153,2605
154,4274
155,
156,4525
157,4635
158,3679
159,1682
160,
161,
162,3340
163,4499
164,3497
165,3889
166,4767
167,1219
168,977
169,1995
170,3913
171,473
172,1381
173,4209
174,2559
175,4120
176,4767
177,
178,848
179,
180,1786
181,2607
182,1357
183,235
184,2339
185,
186,237
187,3101
188,4285
189,3397
190,4800
191,2875
192,1119
193,3062
194,3242
195,2385
196,4405
197,5
198,2467
199,2614
200,2801
201,782
202,1984
203,4287
204,3445
205,2362
206,3376
207,
208,110
209,
210,2743
211,3668
212,516
213,2556
214,3354
215,4634
216,4102
217,
218,3479
219,1736
220,4861
221,134
222,1619
223,868
224,2593
225,2654
226,4116
227,3342
228,908
229,252
230,3905
231,1855
232,3665
233,3341
234,1176
235,2394
236,1751
237,3598
238,
239,219
240,4386
241,2019
242,2589
243,47
244,891
245,3944
246,2246
247,3060
248,12
249,1265
250,4454
251,931
252,2794
253,4881
254,1508
255,21
256,2933
257,
258,
259,2505
260,181
261,4083
262,4113
263,2384
264,
265,
266,4950
267,4390
268,4222
269,587
