IdT,nom_territoire
1,Picardie-22
2,Bretagne-56
3,Bretagne-14
4,Bretagne-70
5,Alsace-30
6,Bourgogne-17
7,Provence-70
8,Bretagne-96
9,Auvergne-78
10,Bourgogne-67
11,Picardie-66
12,Picardie-72
13,Provence-22
14,Alsace-98
15,Limousin-76
16,Auvergne-30
17,Champagne-44
18,Normandie-10
19,Bourgogne-49
20,Provence-65
21,Picardie-66
22,Champagne-35
23,Bourgogne-32
24,Lorraine-68
25,Alsace-60
26,Lorraine-03
27,Alsace-24
28,Limousin-20
29,Provence-49
30,Bretagne-50
31,Provence-88
32,Bretagne-89
33,Picardie-59
34,Champagne-06
35,Provence-76
36,Bretagne-78
37,Limousin-12
38,Bretagne-25
39,Auvergne-11
40,Lorraine-96
41,Normandie-48
42,Bourgogne-60
43,Picardie-52
44,Picardie-55
45,Provence-31
46,Alsace-84
47,Alsace-67
48,Provence-29
49,Lorraine-77
50,Bretagne-96
51,Lorraine-29
52,Normandie-05
53,Bretagne-29
54,Bretagne-14
55,Auvergne-74
56,Provence-65
57,Bourgogne-97
58,Lorraine-96
59,Auvergne-38
60,Auvergne-31
61,Auvergne-44
62,Provence-91
63,Bourgogne-87
64,Provence-69
65,Champagne-54
66,Picardie-30
67,Picardie-86
68,Limousin-08
69,Alsace-14
70,Bretagne-25
71,Limousin-57
72,Picardie-89
73,Champagne-20
74,Limousin-81
75,Bretagne-05
76,Normandie-81
77,Champagne-80
78,Picardie-76
79,Bretagne-03
80,Auvergne-01
81,Champagne-30
82,Champagne-95
83,Bourgogne-55
84,Champagne-17
85,Provence-06
86,Picardie-02
87,Champagne-87
88,Bourgogne-57
89,Bretagne-50
90,Bourgogne-36
91,Lorraine-56
92,Bretagne-24
93,Bretagne-43
94,Champagne-59
95,Bretagne-83
96,Bourgogne-41
97,Bourgogne-72
98,Picardie-97
99,Provence-52
100,Limousin-37
101,Alsace-32
102,Lorraine-32
103,Normandie-14
104,Limousin-62
105,Bretagne-08
106,Champagne-16
107,Champagne-85
108,Champagne-45
109,Champagne-41
110,Auvergne-12
111,Lorraine-82
